WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG
Pressure,N,N,N,1,2,2,1,N
Single,NM,NM,NM,0,3,0,1,NM
Period,NM,N,N,1,3,1,1,NM
Timeline,N,N,N,2,3,2,1,N
SINH,N,N,N,0,1,0,1,N
SK,NM,N,N,0,3,0,1,NM
Editor,NM,N,N,1,3,1,1,NM
Consumer,N,N,N,2,3,2,1,N
Slack,NM,NM,N,0,2,0,1,NM
Client,N,N,N,1,2,2,1,N
Stochastic,NM,NM,NM,0,2,0,1,NM
Process,N,N,V,1,2,2,1,N
Store,N,N,N,0,1,0,1,N
Strictness,NM,N,N,0,2,0,1,NM
Selector,N,N,N,1,2,2,1,N
Stubbing,NM,N,NM,0,2,0,1,NM
Comparator,N,N,N,1,2,2,1,N
SU,NM,N,N,0,2,0,1,NM
Time,N,N,N,1,2,2,1,N
Suite,NM,N,N,0,2,0,1,NM
Method,N,N,N,1,2,2,1,N
Suite,NM,N,N,0,3,0,1,NM
Method,NM,N,N,1,3,1,1,NM
Builder,N,N,N,2,3,2,1,N
Task,NM,N,N,0,2,0,1,NM
Impl,N,N,N,1,2,2,1,N
Temp,NM,N,N,0,3,0,1,NM
Comp,NM,N,N,1,3,1,1,NM
Mask,N,N,N,2,3,2,1,N
Temperature,NM,N,N,0,4,0,1,NM
Cauchy,NM,N,N,1,4,1,1,N
1,NM,NM,D,2,4,1,1,D
D,N,N,N,3,4,2,1,NM
Template,NM,N,N,0,4,0,1,NM
Preview,NM,N,N,1,4,1,1,NM
Icon,NM,N,N,2,4,1,1,NM
Data,N,N,N,3,4,2,1,NPL
Temporary,NM,NM,NM,0,2,0,1,NM
Folder,N,N,N,1,2,2,1,N
Text,NM,N,V,0,3,0,1,NM
Paint,NM,N,N,1,3,1,1,NM
View,N,N,N,2,3,2,1,N
Tile,NM,N,N,0,5,0,1,NM
Parameter,NM,N,N,1,5,1,1,NM
Default,NM,N,N,2,5,1,1,NM
Type,NM,N,N,3,5,1,1,N
Internal,N,NM,N,4,5,2,1,NM
Time,NM,N,N,0,3,0,1,NM
Signal,NM,NM,N,1,3,1,1,NM
Command,N,N,N,2,3,2,1,N
Timelapser,N,N,N,0,1,0,1,N
To,NM,P,P,0,3,0,1,P
String,NM,N,N,1,3,1,1,N
Walker,N,N,N,2,3,2,1,N
Token,NM,NM,N,0,3,0,1,NM
Property,NM,N,N,1,3,1,1,NM
Ref,N,N,N,2,3,2,1,N
Token,NM,NM,N,0,4,0,1,NM
Property,NM,N,N,1,4,1,1,NM
Ref,NM,N,N,2,4,1,1,NM
channel,N,N,N,3,4,2,1,N
Token,NM,NM,NM,0,3,0,1,NM
Type,NM,N,N,1,3,1,1,NM
Decl,N,N,N,2,3,2,1,N
Top,NM,NM,N,0,3,0,1,NM
NGram,NM,N,N,1,3,1,1,NM
Record,NM,N,N,2,3,2,1,N
Transport,NM,N,N,0,4,0,1,NM
Shard,NM,N,N,1,4,1,1,NM
Refresh,NM,N,N,2,4,1,1,NM
Action,N,N,N,3,4,2,1,N
Tree,NM,N,N,0,2,0,1,NM
Element,N,N,N,1,2,2,1,N
Tree,NM,N,N,0,4,0,1,NM
Post,NM,N,N,1,4,1,1,NM
Script,NM,N,N,2,4,1,1,NM
Generator,N,N,N,3,4,2,1,N
Tsurgeon,NM,N,N,0,3,0,1,NM
Parse,NM,N,N,1,3,1,1,NM
Exception,N,N,N,2,3,2,1,N
Tuple,NM,N,N,0,3,0,1,NM
LValue,NM,N,N,1,3,1,1,NM
Emitter,N,N,N,2,3,2,1,N
User,NM,N,N,0,4,0,1,N
2,NM,NM,D,1,4,1,1,P
Internal,NM,NM,N,2,4,1,1,NM
Index,N,N,N,3,4,2,1,N
Value,N,N,N,0,1,0,1,N
Value,NM,N,N,0,2,0,1,NM
Label,N,N,N,1,2,2,1,N
Vanilla,NM,NM,N,0,3,0,1,NM
Forward,NM,NM,N,1,3,1,1,NM
Payoff,N,N,N,2,3,2,1,N
Verification,NM,N,N,0,3,0,1,NM
Mode,NM,N,N,1,3,1,1,NM
Factory,N,N,N,2,3,2,1,N
Vertex,NM,N,N,0,2,0,1,NM
Position,N,N,N,1,2,2,1,N
Video,NM,N,N,0,3,0,1,NM
Capture,NM,N,N,1,3,1,1,NM
DShow,NM,N,N,2,3,2,1,N
Voronoi,NM,N,N,0,3,0,1,NM
Fracture,NM,N,N,1,3,1,1,NM
Demo,N,N,N,2,3,2,1,N
Warning,NM,NM,N,0,3,0,1,NM
Failure,NM,N,N,1,3,1,1,NM
Exception,N,N,N,2,3,2,1,N
Web,NM,N,N,0,3,0,1,NM
Socket,NM,N,N,1,3,1,1,NM
Listener,N,N,N,2,3,2,1,N
Workspace,NM,N,N,0,3,0,1,NM
File,NM,N,N,1,3,1,1,NM
Mask,N,N,N,2,3,2,1,N
Write,NM,N,V,0,2,0,1,NM
Context,N,N,N,1,2,2,1,N
WSDLS,NM,N,N,0,2,0,1,NM
Solver,N,N,N,1,2,2,1,N
