TYPE,IDENTIFIER,GRAMMAR_PATTERN,POSITION,NORMALIZED_POSITION,CONTEXT,WORD,CORRECT_TAG,SYSTEM,IDENTIFIER_CODE
ParametersRunnerFactory,runner Factory,NM N,1,2,5,Factory,N,{'junit4.srcml.xml_identifiers'},1281
char,scene Node Type Name,NM NM NM N,3,2,5,Name,N,{'irrlicht.srcml.xml_identifiers'},1283
GimpHueRange,secondary range,NM N,1,2,5,range,N,{'gimp.srcml.xml_identifiers'},1285
QColor,separator Color,NM N,1,2,5,Color,N,{'calligra.srcml.xml_identifiers'},1286
char,server list,NM N,1,2,5,list,N,{'grpc.srcml.xml_identifiers'},1287
Method,set Protocol Method,NM NM N,2,2,5,Method,N,{'okhttp.srcml.xml_identifiers'},1288
SiblingAlignInfo,Sibling Info,NM N,1,2,5,Info,N,{'swift.srcml.xml_identifiers'},1290
ImVec2,size on first use,N P NM N,0,0,5,size,N,{'bullet3.srcml.xml_identifiers'},1292
ImVec2,size on first use,N P NM N,3,2,5,use,N,{'bullet3.srcml.xml_identifiers'},1292
int,sorted Indices Buf,NM NM N,2,2,5,Buf,N,{'opencv.srcml.xml_identifiers'},1293
int16t,speech in,NM N,1,2,5,in,N,{'Telegram.srcml.xml_identifiers'},1294
QGradient,src Gradient,NM N,1,2,5,Gradient,N,{'calligra.srcml.xml_identifiers'},1295
int,Start Slot,NM N,1,2,5,Slot,N,{'ogre.srcml.xml_identifiers'},1297
Real,start Up Fix Cost,NM NM NM N,3,2,5,Cost,N,{'QuantLib.srcml.xml_identifiers'},1298
File,status File,NM N,1,2,5,File,N,{'antlr4.srcml.xml_identifiers'},1299
float,strength,N,0,0,5,strength,N,{'blender.srcml.xml_identifiers'},1300
String,subroutine Slot Name,NM NM N,2,2,5,Name,N,{'ogre.srcml.xml_identifiers'},1301
RealMethod,super Method,NM N,1,2,5,Method,N,{'mockito.srcml.xml_identifiers'},1302
Class,supplier Class,NM N,1,2,5,Class,N,{'junit4.srcml.xml_identifiers'},1303
bool,suppress File,V N,1,2,5,File,N,{'ogre.srcml.xml_identifiers'},1304
gint,table 2 id,N D N,0,0,5,table,N,{'gimp.srcml.xml_identifiers'},1305
gint,table 2 id,N D N,2,2,5,id,N,{'gimp.srcml.xml_identifiers'},1305
ATNState,target,N,0,0,5,target,N,{'antlr4.srcml.xml_identifiers'},1306
uint32t,tbl index,NM N,1,2,5,index,N,{'grpc.srcml.xml_identifiers'},1307
int,tex ID,NM N,1,2,5,ID,N,{'openFrameworks.srcml.xml_identifiers'},1308
InvocationOnMock,the Invocation,DT N,1,2,5,Invocation,N,{'mockito.srcml.xml_identifiers'},1309
double,tick Freq,NM N,1,2,5,Freq,N,{'opencv.srcml.xml_identifiers'},1310
float,time range,NM N,1,2,5,range,N,{'blender.srcml.xml_identifiers'},1311
Cancellable,timeout Task,NM N,1,2,5,Task,N,{'elasticsearch.srcml.xml_identifiers'},1312
int,times To Append Last Matcher,NPL P V NM N,4,2,5,Matcher,N,{'mockito.srcml.xml_identifiers'},1313
Token,token Within Action,N P N,0,0,5,token,N,{'antlr4.srcml.xml_identifiers'},1314
Token,token Within Action,N P N,2,2,5,Action,N,{'antlr4.srcml.xml_identifiers'},1314
bool,Top Dir,NM N,1,2,5,Dir,N,{'grpc.srcml.xml_identifiers'},1315
T[],typed Array,NM N,1,2,5,Array,N,{'mockito.srcml.xml_identifiers'},1316
Handle,underlying Fx Correlation,NM NM N,2,2,5,Correlation,N,{'QuantLib.srcml.xml_identifiers'},1317
Money,undiscounted Amount,NM N,1,2,5,Amount,N,{'QuantLib.srcml.xml_identifiers'},1318
int,usage,N,0,0,5,usage,N,{'openFrameworks.srcml.xml_identifiers'},1319
sizet,utf8 size,NM N,1,2,5,size,N,{'grpc.srcml.xml_identifiers'},1322
Set,waiting List,NM N,1,2,5,List,N,{'jenkins.srcml.xml_identifiers'},1324
int,want x,V N,1,2,5,x,N,{'openFrameworks.srcml.xml_identifiers'},1325
boolean,will Return Last Parameter,V V NM N,3,2,5,Parameter,N,{'mockito.srcml.xml_identifiers'},1326
WordLemmaTag,word Lemma Tag,NM NM N,2,2,5,Tag,N,{'corenlp.srcml.xml_identifiers'},1327
WrapperType,wrapped Verification,NM N,1,2,5,Verification,N,{'mockito.srcml.xml_identifiers'},1328
int,write Root,V N,1,2,5,Root,N,{'irrlicht.srcml.xml_identifiers'},1329
Real,y In,NM N,1,2,5,In,N,{'ogre.srcml.xml_identifiers'},1330
freenectzeroplaneinfo,z p i,NM NM N,2,2,5,i,N,{'openFrameworks.srcml.xml_identifiers'},1332
int[],zoom x y,NM N N,1,1,5,x,N,{'blender.srcml.xml_identifiers'},1334
int[],zoom x y,NM N N,2,2,5,y,N,{'blender.srcml.xml_identifiers'},1334
int,last layer index,DT NM N,2,2,1,index,N,cloned_repositories/caffe.git/include/caffe/layers/recurrent_layer.hpp,1335
int,saved Err no,V NM N,2,2,3,no,N,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,1337
u8,a Data End,NM NM N,2,2,3,End,N,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,1338
int,no lock Lock,DT NM N,2,2,4,Lock,N,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,1339
char,a Node,NM N,1,2,1,Node,N,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,1340
sqlite3_rtree_dbl,a Param,NM N,1,2,1,Param,N,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,1341
int,i Leaf Pg no,NM NM NM N,3,2,1,no,N,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,1342
i64,an Size,NM N,1,2,5,Size,N,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,1343
int,a Change,NM N,1,2,5,Change,N,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,1345
int,a ch,NM N,1,2,3,ch,N,cloned_repositories/ccv.git/lib/ccv_convnet.c,1346
Object,next Instance,DT N,1,2,4,Instance,N,cloned_repositories/cglib.git/cglib/src/main/java/net/sf/cglib/beans/BeanCopier.java,1347
void,a const null,NM NM N,2,2,4,null,N,cloned_repositories/cglib.git/cglib/src/main/java/net/sf/cglib/core/CodeEmitter.java,1349
void,invoke constructor this,V N NM,1,1,4,constructor,N,cloned_repositories/cglib.git/cglib/src/main/java/net/sf/cglib/core/CodeEmitter.java,1350
bool,no logo,DT N,1,2,5,logo,N,cloned_repositories/cling.git/include/cling/UserInterface/UserInterface.h,1352
bool,no Runtime,DT N,1,2,5,Runtime,N,cloned_repositories/cling.git/lib/Interpreter/Interpreter.cpp,1353
SourceLocation,no Src Loc,DT NM N,2,2,3,Loc,N,cloned_repositories/cling.git/lib/Interpreter/ValuePrinter.cpp,1354
int,last Idx,DT N,1,2,1,Idx,N,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-core/src/main/java/org/deeplearning4j/core/util/UIDProvider.java,1357
INDArray,last Mem Cell,DT NM N,2,2,1,Cell,N,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/layers/recurrent/FwdPassReturn.java,1358
Long,last Save Every Ms No Since Last,DT N DT N DT P DT,1,1,1,Save,N,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/optimize/listeners/CheckpointListener.java,1359
Long,last Save Every Ms No Since Last,DT N DT N DT P DT,3,1,1,Ms,N,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/optimize/listeners/CheckpointListener.java,1359
long,last Update Time,DT NM N,2,2,1,Time,N,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-ui-parent/deeplearning4j-ui-model/src/main/java/org/deeplearning4j/ui/model/weights/beans/CompactModelAndGradient.java,1360
int,file no,NM N,1,2,5,no,N,cloned_repositories/facebook-repo-ds2.git/Sources/GDBRemote/DebugSessionImpl.cpp,1362
char*,Err no,NM N,1,2,4,no,N,cloned_repositories/facebook-repo-ds2.git/Sources/Utils/POSIX/Stringify.cpp,1364
AssertionInfo,m last Assertion Info,PRE DT NM N,3,2,1,Info,N,cloned_repositories/freeminer.git/lib/catch2/catch.hpp,1365
Option,m last Result,PRE DT N,2,2,1,Result,N,cloned_repositories/freeminer.git/lib/catch2/catch.hpp,1366
Mode,last Mode,DT N,1,2,1,Mode,N,cloned_repositories/freeminer.git/lib/catch2/catch.hpp,1367
u8,next real face,DT NM N,2,2,3,face,N,cloned_repositories/freeminer.git/src/circuit_element.cpp,1368
v3f,update draw list last cam dir,PRE PRE PRE DT NM N,5,2,1,dir,N,cloned_repositories/freeminer.git/src/client/game.cpp,1370
vector,created no sky,V DT N,2,2,1,sky,N,cloned_repositories/freeminer.git/src/client/game.cpp,1371
u64,last time,DT N,1,2,1,time,N,cloned_repositories/freeminer.git/src/client/game.cpp,1372
float,no dig delay timer,DT NM NM N,3,2,1,timer,N,cloned_repositories/freeminer.git/src/client/game.cpp,1373
u16,m last used id,PRE DT V N,3,2,1,id,N,cloned_repositories/freeminer.git/src/client/sound_openal.cpp,1374
u32,block count all,NM N DT,1,1,3,count,N,cloned_repositories/freeminer.git/src/fm_map.cpp,1375
bool,no random,DT N,1,2,5,random,N,cloned_repositories/freeminer.git/src/fm_map.cpp,1376
u32,last time,DT N,1,2,1,time,N,cloned_repositories/freeminer.git/src/gui/guiEngine.h,1377
uchar32_t,this Letter,DT N,1,2,5,Letter,N,cloned_repositories/freeminer.git/src/irrlicht_changes/CGUITTFont.cpp,1378
bool,no cache,DT N,1,2,5,cache,N,cloned_repositories/freeminer.git/src/map.h,1379
VoxelArea,leaves a,NM N,1,2,3,a,N,cloned_repositories/freeminer.git/src/mapgen/treegen.cpp,1380
u8,a light,DT N,1,2,5,light,N,cloned_repositories/freeminer.git/src/mapnode.cpp,1381
int,l set last run mod,PRE V DT V N,4,2,4,mod,N,cloned_repositories/freeminer.git/src/script/lua_api/l_client.cpp,1382
int*,not a local branch,VM DT NM N,3,2,4,branch,N,cloned_repositories/git2r.git/src/libgit2/src/libgit2/branch.c,1385
int,no callback,DT N,1,2,3,callback,N,cloned_repositories/git2r.git/src/libgit2/src/libgit2/transports/ssh.c,1389
size_t,str len a,NM NM N,2,2,3,a,N,cloned_repositories/git2r.git/src/libgit2/src/util/str.c,1390
Object,next Label,DT N,1,2,3,Label,N,cloned_repositories/guava.git/android/guava/src/com/google/common/util/concurrent/ListenerCallQueue.java,1391
N,this Node,DT N,1,2,5,Node,N,cloned_repositories/guava.git/guava/src/com/google/common/graph/DirectedGraphConnections.java,1392
String,next Field Name,DT NM N,2,2,4,Name,N,cloned_repositories/immutables.git/criteria/mongo/src/org/immutables/criteria/mongo/bson4jackson/BsonParser.java,1393
double,next Double,DT N,1,2,4,Double,N,cloned_repositories/immutables.git/mongo/src/org/immutables/mongo/bson4gson/BsonReader.java,1394
boolean,last Value,DT N,1,2,5,Value,N,cloned_repositories/immutables.git/value-fixture/src/android/os/Parcel.java,1395
Void,a Void,DT N,1,2,5,Void,N,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/MoreElements.java,1396
int,last Index Of Dot,DT N P N,1,1,3,Index,N,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/SourceNames.java,1398
int,last Index Of Dot,DT N P N,3,2,3,Dot,N,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/SourceNames.java,1398
boolean,all Final,DT N,1,2,5,Final,N,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/ValueType.java,1399
void,each seen event,DT V N,2,2,4,event,N,cloned_repositories/meta.git/include/meta/stats/multinomial.tcc,1400
unique_ptr,last builder,DT N,1,2,1,builder,N,cloned_repositories/meta.git/src/lm/mph_language_model.cpp,1401
int32_t,next event,DT N,1,2,1,event,N,cloned_repositories/mgba.git/include/mgba/core/timing.h,1402
int32_t,next update,DT N,1,2,1,update,N,cloned_repositories/mgba.git/include/mgba/internal/gb/audio.h,1403
int,str cmp case no sensitive internal,N V N DT NM N,0,0,4,str,N,cloned_repositories/mgba.git/src/third-party/zlib/contrib/minizip/unzip.c,1404
int,str cmp case no sensitive internal,N V N DT NM N,2,1,4,case,N,cloned_repositories/mgba.git/src/third-party/zlib/contrib/minizip/unzip.c,1404
int,str cmp case no sensitive internal,N V N DT NM N,5,2,4,internal,N,cloned_repositories/mgba.git/src/third-party/zlib/contrib/minizip/unzip.c,1404
int,a len,NM N,1,2,5,len,N,cloned_repositories/naemon-core.git/lib/kvvec.c,1405
long,get next comment id,V DT NM N,3,2,4,id,N,cloned_repositories/naemon-core.git/src/naemon/comments.c,1406
hostescalation,this host escalation,DT NM N,2,2,5,escalation,N,cloned_repositories/naemon-core.git/src/naemon/objects_hostescalation.h,1408
serviceescalation,this service escalation,DT NM N,2,2,5,escalation,N,cloned_repositories/naemon-core.git/src/naemon/objects_serviceescalation.c,1409
query_handler,next qh,DT N,1,2,1,qh,N,cloned_repositories/naemon-core.git/src/naemon/query-handler.c,1410
int,last bucket,DT N,1,2,3,bucket,N,cloned_repositories/naemon-core.git/src/naemon/utils.c,1411
int,this bucket,DT N,1,2,3,bucket,N,cloned_repositories/naemon-core.git/src/naemon/utils.c,1412
xodtemplate_serviceextinfo,next se,DT N,1,2,3,se,N,cloned_repositories/naemon-core.git/src/naemon/xodtemplate.c,1413
xodtemplate_daterange,next date range,DT NM N,2,2,3,range,N,cloned_repositories/naemon-core.git/src/naemon/xodtemplate.c,1414
xodtemplate_serviceextinfo,this service ext info,DT NM NM N,3,2,5,info,N,cloned_repositories/naemon-core.git/src/naemon/xodtemplate.c,1415
long,last Active,DT N,1,2,1,Active,N,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/dom4j/io/XMPPPacketReader.java,1416
SQLException,last Exception,DT N,1,2,3,Exception,N,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/database/DbConnectionManager.java,1417
byte,another ID,DT N,1,2,5,ID,N,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/cluster/NodeID.java,1418
Group,next Element,DT N,1,2,1,Element,N,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/group/GroupCollection.java,1419
Instant,last Activity,DT N,1,2,3,Activity,N,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/muc/spi/MultiUserChatServiceImpl.java,1420
long,last used,DT N,1,2,1,used,N,cloned_repositories/ovs.git/lib/dpif-netdev.c,1421
json*,ovsdb atom string create no copy,PRE PRE N V DT V,2,1,4,string,N,cloned_repositories/ovs.git/lib/ovsdb-data.h,1422
ovsdb_type,a type,NM N,1,2,5,type,N,cloned_repositories/ovs.git/lib/ovsdb-data.h,1423
bool,monitor everything by default,V DT P N,3,2,5,default,N,cloned_repositories/ovs.git/lib/ovsdb-idl.c,1424
int,more core properties,DT NM N,2,2,1,properties,N,cloned_repositories/panda3d.git/dtool/src/dtoolbase/ptmalloc2_smp_src.cxx,1426
int,this index,DT N,1,2,3,index,N,cloned_repositories/panda3d.git/dtool/src/interrogate/interrogateBuilder.cxx,1427
int*,make no n indexed,V DT N NM,2,1,4,n,N,cloned_repositories/panda3d.git/panda/src/gobj/geom.cxx,1430
PN_stdfloat,a dist,NM N,1,2,3,dist,N,cloned_repositories/panda3d.git/panda/src/gobj/lens.cxx,1431
PN_stdfloat,weight a,NM N,1,2,3,a,N,cloned_repositories/panda3d.git/panda/src/particlesystem/colorInterpolationManager.cxx,1432
PyObject,this class,DT N,1,2,5,class,N,cloned_repositories/panda3d.git/panda/src/putil/typedWritable_ext.cxx,1436
int,which Button,DT N,1,2,3,Button,N,cloned_repositories/panda3d.git/panda/src/windisplay/winGraphicsWindow.cxx,1437
int,next tex,DT N,1,2,1,tex,N,cloned_repositories/panda3d.git/pandatool/src/maxegg/maxEggLoader.cxx,1438
bool,copy this file,V DT N,2,2,4,file,N,cloned_repositories/panda3d.git/pandatool/src/pandatoolbase/pathReplace.cxx,1443
bool,check last arg,V DT N,2,2,4,arg,N,cloned_repositories/panda3d.git/pandatool/src/progbase/withOutputFile.cxx,1444
in6_addr,i 6 a,NM D N,2,2,3,a,N,cloned_repositories/proxygen.git/proxygen/lib/dns/DNSResolver.cpp,1446
bool,no Error,DT N,1,2,4,Error,N,cloned_repositories/proxygen.git/proxygen/lib/http/session/HQSession.cpp,1447
string,next Protocol,DT N,1,2,5,Protocol,N,cloned_repositories/proxygen.git/proxygen/lib/http/session/HTTPDefaultSessionCodecFactory.cpp,1448
StreamID,last Stream,DT N,1,2,5,Stream,N,cloned_repositories/proxygen.git/proxygen/lib/http/stats/HTTPCodecStatsFilter.cpp,1449
CLIQUER_LARGE_INT*,sub unweighted all,N NM DT,0,0,4,sub,N,cloned_repositories/rigraph.git/src/core/cliques/cliquer/cliquer.c,1450
int,i graph i sparse mat which min cols triplet,PRE PRE PRE DT NM NM N,6,1,4,min,N,cloned_repositories/rigraph.git/src/core/core/sparsemat.c,1451
yy_state_type,yy last accepting state,PRE DT NM N,3,2,1,state,N,cloned_repositories/rigraph.git/src/core/io/dl-lexer.c,1452
int,no of groups,N P NPL,0,0,5,no,N,cloned_repositories/rigraph.git/src/core/scg/scg.c,1453
int,rec no,NM N,1,2,1,no,N,cloned_repositories/rigraph.git/src/vendor/cigraph/vendor/glpk/api/mps.c,1454
string,str all,N DT,0,0,3,str,N,cloned_repositories/s3fs-fuse.git/src/fdcache_page.cpp,1457
ostringstream,ss all,N DT,0,0,3,ss,N,cloned_repositories/s3fs-fuse.git/src/fdcache_page.cpp,1458
long,next tag,DT N,1,2,3,tag,N,cloned_repositories/s3fs-fuse.git/src/fdcache_untreated.cpp,1459
bool,last part,DT N,1,2,5,part,N,cloned_repositories/s3fs-fuse.git/src/fdcache_untreated.cpp,1460
AutoLock,auto lock no wait,NM N DT V,1,1,3,lock,N,cloned_repositories/s3fs-fuse.git/src/fdcache.cpp,1461
timespec,t s a time,NM NM NM N,3,2,3,time,N,cloned_repositories/s3fs-fuse.git/src/s3fs.cpp,1463
string,next marker,DT N,1,2,3,marker,N,cloned_repositories/s3fs-fuse.git/src/s3fs.cpp,1464
int*,rename object no copy,V N DT V,1,1,4,object,N,cloned_repositories/s3fs-fuse.git/src/s3fs.cpp,1465
AtomicLong,last Persister Success,DT NM N,2,2,5,Success,N,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/data/history/SingularityRequestHistoryPersister.java,1466
long,last Pending Task Cache,DT NM NM N,3,2,1,Cache,N,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/data/SingularityWebCache.java,1467
AtomicLong,last Heartbeat Time,DT NM N,2,2,5,Time,N,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/data/StateManager.java,1468
TaskStatus,next In Memory,DT P N,2,2,4,Memory,N,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/mesos/StatusUpdateQueue.java,1469
T,this Object,DT N,1,2,5,Object,N,cloned_repositories/Smack.git/smack-core/src/main/java/org/jivesoftware/smack/util/EqualsUtil.java,1471
Message,next Message,DT N,1,2,4,Message,N,cloned_repositories/Smack.git/smack-experimental/src/main/java/org/jivesoftware/smackx/muclight/MultiUserChatLight.java,1472
boolean,no Reply,DT N,1,2,5,Reply,N,cloned_repositories/Smack.git/smack-extensions/src/main/java/org/jivesoftware/smackx/address/MultipleRecipientManager.java,1473
KeyStore,all Store,DT N,1,2,1,Store,N,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/certificates/GeneralTrustManager.java,1475
HashMap,last Message,DT N,1,2,1,Message,N,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/plugin/transcripts/ChatTranscriptPlugin.java,1476
bool,Confirmless Delete,NM N,1,2,4,Delete,N,cloned_repositories/toggldesktop.git/src/ui/windows/TogglDesktop/TogglDesktop/ui/ModelExtensions.cs,1477
DateTime,last Date Loaded,DT N V,1,1,1,Date,N,cloned_repositories/toggldesktop.git/src/ui/windows/TogglDesktop/TogglDesktop/ui/ViewModels/TimelineViewModel.cs,1478
Int64,as Int64,P N,1,2,4,Int64,N,cloned_repositories/toggldesktop.git/third_party/jsoncpp/src/lib_json/json_value.cpp,1479
int,no text,DT N,1,2,5,text,N,cloned_repositories/toggldesktop.git/third_party/openssl/apps/ca.c,1480
ASN1_GENERALIZEDTIME,next upd,DT N,1,2,5,upd,N,cloned_repositories/toggldesktop.git/third_party/openssl/crypto/ocsp/ocsp_cl.c,1481
void,this Instance,DT N,1,2,5,Instance,N,cloned_repositories/toggldesktop.git/third_party/plcrashreporter/Tools/CrashViewer/CrashReporterQuicklook/main.c,1483
int,a Ascii,NM N,1,2,3,Ascii,N,cloned_repositories/toggldesktop.git/third_party/poco/Data/SQLite/src/sqlite3.c,1485
void*,send name all groups,V N DT NPL,1,1,4,name,N,cloned_repositories/toxcore.git/toxcore/group.c,1486
void*,tox self set no spam,PRE PRE V DT N,4,2,4,spam,N,cloned_repositories/toxcore.git/toxcore/tox.c,1488
int*,gui line has tag no filter,PRE PRE V N DT N,3,1,4,tag,N,cloned_repositories/weechat.git/src/gui/gui-line.c,1490
int*,gui line has tag no filter,PRE PRE V N DT N,5,2,4,filter,N,cloned_repositories/weechat.git/src/gui/gui-line.c,1490
time_t,last data purge,DT N V,1,1,1,data,N,cloned_repositories/weechat.git/src/plugins/irc/irc-server.h,1492
char,no log,DT N,1,2,3,log,N,cloned_repositories/weechat.git/src/plugins/logger/logger.c,1493
t_plugin_script,last script,DT N,1,2,1,script,N,cloned_repositories/weechat.git/src/plugins/plugin-script.h,1494
char,message no color,N DT N,0,0,3,message,N,cloned_repositories/weechat.git/src/plugins/relay/irc/relay-irc.c,1495
char,message no color,N DT N,2,2,3,color,N,cloned_repositories/weechat.git/src/plugins/relay/irc/relay-irc.c,1495
address,addr a,NM N,1,2,1,a,N,cloned_repositories/wireshark.git/epan/dissectors/asn1/ngap/packet-ngap-template.c,1498
int,atalk len,DT N,1,2,4,len,N,cloned_repositories/wireshark.git/epan/dissectors/packet-atalk.c,1499
gint,next offset,DT N,1,2,3,offset,N,cloned_repositories/wireshark.git/epan/dissectors/packet-mrcpv2.c,1501
guint32,last ack seq,DT NM N,2,2,1,seq,N,cloned_repositories/wireshark.git/epan/dissectors/packet-tcp.h,1502
guint32,where id,DT N,1,2,1,id,N,cloned_repositories/wireshark.git/epan/dissectors/packet-mswsp.c,1503
guint,last n,DT N,1,2,1,n,N,cloned_repositories/wireshark.git/plugins/epan/mate/mate.h,1504
QString,m endpoint a,PRE NM N,2,2,1,a,N,cloned_repositories/wireshark.git/ui/qt/lbm_stream_dialog.cpp,1505
guint8,annex a used,NM N V,1,1,1,a,N,cloned_repositories/wireshark.git/wiretap/wtap.h,1506
int,last Row,DT N,1,2,1,Row,N,drill.git/contrib/format-excel/src/main/java/org/apache/drill/exec/store/excel/ExcelBatchReader.java,1507
boolean,next Line,DT N,1,2,4,Line,N,drill.git/contrib/format-excel/src/main/java/org/apache/drill/exec/store/excel/ExcelBatchReader.java,1508
DBDocumentReaderBase,next Document Reader,DT NM N,2,2,4,Reader,N,drill.git/contrib/format-maprdb/src/main/java/org/apache/drill/exec/store/mapr/db/json/MaprDBJsonRecordReader.java,1510
size_t,m last Connection,PRE DT N,2,2,1,Connection,N,drill.git/contrib/native/client/src/clientlib/drillClientImpl.hpp,1511
T,a,N,0,0,5,a,N,drill.git/contrib/native/client/src/include/drill/drillClient.hpp,1513
LogicalExpression,this Expr,DT N,1,2,5,Expr,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/EqualityVisitor.java,1516
LogicalExpression,that Expr,DT N,1,2,5,Expr,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/EqualityVisitor.java,1517
JVar,last Writer Idx,DT NM N,2,2,1,Idx,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/DrillComplexWriterAggFuncHolder.java,1518
char,next Char,DT N,1,2,3,Char,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/impl/RegexpUtil.java,1519
Map,all Function Holders By Jar,DT NM NM P N,4,2,3,Jar,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/registry/FunctionRegistryHolder.java,1520
int,next Partition To Return,DT N P N,1,1,1,Partition,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java,1521
int,next Partition To Return,DT N P N,3,2,1,Return,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java,1521
MappingSet,both Keys Null H table Mapping,DT NPL NM NM NM N,5,2,1,Mapping,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/common/ChainedHashTable.java,1522
BatchHolder,last Entry Batch,DT NM N,2,2,5,Batch,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/common/HashTableTemplate.java,1523
IterOutcome,last Right Status,DT NM N,2,2,3,Status,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/join/MergeJoinBatch.java,1524
int,last Write Index,DT NM N,2,2,4,Index,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/rowSet/RowSetWriterImpl.java,1525
RelNode,last Rel Node,DT NM N,2,2,3,Node,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/planner/index/generators/IndexIntersectPlanGenerator.java,1526
boolean,enough Memory,DT N,1,2,4,Memory,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/visitor/MemoryEstimationVisitor.java,1527
boolean,last Batch Read,DT NM N,2,2,1,Read,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/record/RecordIterator.java,1528
float,next Cast Cost,DT NM N,2,2,3,Cost,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/resolver/TypeCastRules.java,1529
int,next Id,DT N,1,2,1,Id,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/schema/SchemaIdGenerator.java,1531
ReadStatus,next Page From Queue,DT NM P N,3,2,4,Queue,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/columnreaders/AsyncPageReader.java,1532
boolean,next Integer If Not EOF,DT NM CJ DT N,4,2,4,EOF,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/columnreaders/VarLenColumnBulkInput.java,1533
Filter,the Filter Rel,DT NM N,2,2,3,Rel,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/FilePushDownFilter.java,1534
Filter,the New Filter,DT NM N,2,2,3,Filter,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/FilePushDownFilter.java,1535
int,this Length,DT N,1,2,3,Length,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/work/filter/BloomFilter.java,1536
BloomFilter,this One,DT N,1,2,3,One,N,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/work/filter/RuntimeFilterWritable.java,1537
Class,some Reference,DT N,1,2,1,Reference,N,drill.git/exec/jdbc/src/main/java/org/apache/drill/jdbc/proxy/InvocationReporterImpl.java,1539
Iterator,this Iter,DT N,1,2,3,Iter,N,drill.git/exec/vector/src/main/java/org/apache/drill/exec/record/MaterializedField.java,1540
int,this Index,DT N,1,2,5,Index,N,drill.git/exec/vector/src/main/java/org/apache/drill/exec/vector/UntypedNullVector.java,1541
