TYPE	SPLIT	CONTEXT	GRAMMAR_PATTERN	LANGUAGE	SYSTEM_NAME	GITHUB_URL
GetHomeDirectory	Get Home Directory	CLASS	V NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
String	get Id For Name	FUNCTION	V N P N	Java	elasticsearch	https://github.com/elastic/elasticsearch
int	get Initial Window Size	FUNCTION	V NM NM N	Java	okhttp	https://github.com/square/okhttp
Descriptor	get Item Type Descriptor	FUNCTION	V NM NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
ematrix6	get Jf	FUNCTION	V N	C++	blender	https://github.com/blender/blender
Tree	get Leftmost Descendant	FUNCTION	V NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
double	Get Longitude	FUNCTION	V N	C#	grpc	https://github.com/grpc/grpc
int	get Max Shingle Diff	FUNCTION	V NM NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
int	Get Meta Index	FUNCTION	V NM N	C	Telegram	https://github.com/DrKLO/Telegram
FunctionType	get Msg Send Super Ty	FUNCTION	V NM NM NM N	C++	swift	https://github.com/apple/swift
int	get Number Of Transitions	FUNCTION	V N P NPL	Java	antlr4	https://github.com/antlr/antlr4
long	get Operations Reads	FUNCTION	V NM NPL	Java	elasticsearch	https://github.com/elastic/elasticsearch
String	get Phrase 1	FUNCTION	V N D	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
Vector3	get Plane Point	FUNCTION	V NM N	C	ogre	https://github.com/OGRECave/ogre
Method	get Protocol Method	PARAMETER	NM NM N	Java	okhttp	https://github.com/square/okhttp
Object[]	get Raw Arguments	FUNCTION	V NM NPL	Java	mockito	https://github.com/mockito/mockito
float	get Red Adjust 2	FUNCTION	V NM N D	C++	ogre	https://github.com/OGRECave/ogre
double	Get Related View Data Row Double	FUNCTION	V NM NM NM N NM	C++	grpc	https://github.com/grpc/grpc
String	GET SOURCE NAME	ATTRIBUTE	NM NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
Real	get Top Border Size	FUNCTION	V NM NM N	C++	ogre	https://github.com/OGRECave/ogre
GetTotalDiskSpace	Get Total Disk Space	CLASS	V NM NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
path	get Working Directory	FUNCTION	V NM N	C++	irrlicht	https://github.com/zaki/irrlicht
int	Get XCR 0	FUNCTION	V N D	C++	Telegram	https://github.com/DrKLO/Telegram
void	gimp canvas rectangle set property	FUNCTION	PRE NM N V N	C	gimp	https://github.com/GNOME/gimp
gboolean	gimp eraser default	FUNCTION	PRE N NM	C	gimp	https://github.com/GNOME/gimp
GimpThumbnail	gimp image file get thumbnail	FUNCTION	PRE NM N V N	C	gimp	https://github.com/GNOME/gimp
void	gimp param drawable id init	FUNCTION	PRE NM NM N V	C	gimp	https://github.com/GNOME/gimp
void	gimp selection tool class init	FUNCTION	PRE NM NM N V	C	gimp	https://github.com/GNOME/gimp
void	gimp status bar progress canceled	FUNCTION	PRE NM NM N V	C	gimp	https://github.com/GNOME/gimp
gboolean	gimp wire compare	FUNCTION	PRE N V	C	gimp	https://github.com/GNOME/gimp
PFNGLINDEXMASKPROC	glew Index Mask	ATTRIBUTE	PRE NM N	C	blender	https://github.com/blender/blender
PFNGLRENDERMODEPROC	glew Render Mode	ATTRIBUTE	PRE NM N	C	blender	https://github.com/blender/blender
PFNGLVALIDATEPROGRAMPIPELINEPROC	glew Validate Program Pipeline	ATTRIBUTE	PRE V NM N	C	ogre	https://github.com/OGRECave/ogre
ObjectValue	global Scope	FUNCTION	NM N	C++	kdevelop	https://github.com/KDE/kdevelop
GlobalsAsMembersTableReaderInfo	Globals As Members Table Reader Info	CLASS	NPL P NPL NM NM N	C++	swift	https://github.com/apple/swift
GLXConfigurator	GLX Configurator	CLASS	NM N	C++	ogre	https://github.com/OGRECave/ogre
int	gpencil primitive modal	FUNCTION	NM NM N	C	blender	https://github.com/blender/blender
QList	group Boxes	ATTRIBUTE	NM NPL	C++	kdevelop	https://github.com/KDE/kdevelop
GroupByContext	Group By Context	CLASS	N P N	Java	elasticsearch	https://github.com/elastic/elasticsearch
String	group Role Attribute	PARAMETER	NM NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
string	grouping	PARAMETER	N	C++	grpc	https://github.com/grpc/grpc
void	grpc chttp2 mark stream writable	FUNCTION	PRE PRE V N NM	C++	grpc	https://github.com/grpc/grpc
bool	Handle If	FUNCTION	V CJ	C++	ogre	https://github.com/OGRECave/ogre
QPointF	handle Pos	PARAMETER	NM N	C++	calligra	https://github.com/KDE/calligra
DenseSet	handled Boxes	ATTRIBUTE	NM NPL	C++	swift	https://github.com/apple/swift
HandshakeMode	Handshake Mode	CLASS	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
bool	has Composite Op	FUNCTION	V NM N	C++	calligra	https://github.com/KDE/calligra
bool	has View Relative Texture Coordinate Generation	FUNCTION	V NM NM NM NM N	C++	ogre	https://github.com/OGRECave/ogre
bool	have Mask	DECLARATION	V N	C++	opencv	https://github.com/opencv/opencv
HDRListener	HDR Listener	CLASS	NM N	C++	ogre	https://github.com/OGRECave/ogre
HeatVisionListener	Heat Vision Listener	CLASS	NM NM N	C++	ogre	https://github.com/OGRECave/ogre
gint	height int	ATTRIBUTE	NM N	C	gimp	https://github.com/GNOME/gimp
FastVectorHighlighter	highlighter	PARAMETER	N	Java	elasticsearch	https://github.com/elastic/elasticsearch
QAction	history Action	ATTRIBUTE	NM N	C++	kdevelop	https://github.com/KDE/kdevelop
HtmlFile	html File	PARAMETER	NM N	C++	calligra	https://github.com/KDE/calligra
Http1ExchangeCodec	Http1 Exchange Codec	CLASS	NM NM N	Java	okhttp	https://github.com/square/okhttp
int	http2 Error Code	PARAMETER	NM NM N	Java	okhttp	https://github.com/square/okhttp
IllegalArgumentException	i ar e	PARAMETER	NM NM N	Java	junit4	https://github.com/junit-team/junit4
IReadFile	I Read File	CLASS	NM NM N	C++	irrlicht	https://github.com/zaki/irrlicht
SILDeclRef	i var Initializer	PARAMETER	NM NM N	C++	swift	https://github.com/apple/swift
gint32	ico load layer	FUNCTION	PRE V N	C	gimp	https://github.com/GNOME/gimp
IcyDecoder	Icy Decoder	CLASS	NM N	Java	Telegram	https://github.com/DrKLO/Telegram
long	id A	PARAMETER	NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
int	ID LUMNINANCE MIN	ATTRIBUTE	NM NM N	Java	Telegram	https://github.com/DrKLO/Telegram
Map	id Mention	DECLARATION	N NM	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
GQuark	identifier quark	DECLARATION	NM N	C	gimp	https://github.com/GNOME/gimp
long	idle Delay	ATTRIBUTE	NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
IdpConfiguration	idp Configuration	DECLARATION	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
int	idx u	DECLARATION	NM N	C	blender	https://github.com/blender/blender
vector	im out shape	ATTRIBUTE	NM NM N	C++	opencv	https://github.com/opencv/opencv
ImageManager	Image Manager	CLASS	NM N	C++	blender	https://github.com/blender/blender
void	imb stereo3d read interlace	FUNCTION	PRE NM V N	C	blender	https://github.com/blender/blender
stbi_uc	img buffer original	ATTRIBUTE	NM N NM	C	ogre	https://github.com/OGRECave/ogre
IplImage[]	img stub	DECLARATION	NM N	C++	opencv	https://github.com/opencv/opencv
FREEIMAGETYPE	img Type	DECLARATION	NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
String	IMPLICIT GROUP KEY	DECLARATION	NM NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
Grammar	import G	PARAMETER	NM N	Java	antlr4	https://github.com/antlr/antlr4
wchart	in	PARAMETER	N	C++	bullet3	https://github.com/bulletphysics/bullet3
float	in buffer	PARAMETER	NM N	C	openFrameworks	https://github.com/openframeworks/openFrameworks
Strategy	in Cache	DECLARATION	P N	Java	Telegram	https://github.com/DrKLO/Telegram
bool	in SCC	FUNCTION	P N	C++	swift	https://github.com/apple/swift
boolean	inbound	PARAMETER	NM	Java	okhttp	https://github.com/square/okhttp
IndexData	index Data	ATTRIBUTE	NM NPL	C	ogre	https://github.com/OGRECave/ogre
String	INDEX PREFIX WITH TEMPLATE	ATTRIBUTE	NM N P N	Java	elasticsearch	https://github.com/elastic/elasticsearch
int	index Tensor	PARAMETER	NM N	C++	opencv	https://github.com/opencv/opencv
int	index To Loc Format	ATTRIBUTE	N P NM N	C	bullet3	https://github.com/bulletphysics/bullet3
Integer[]	indexes Of Suspicious Args	DECLARATION	NPL P NM NPL	Java	mockito	https://github.com/mockito/mockito
IntPtr	inertial Frame	DECLARATION	NM N	C#	bullet3	https://github.com/bulletphysics/bullet3
InetSocketAddress	inet Socket Address	ATTRIBUTE	NM NM N	Java	okhttp	https://github.com/square/okhttp
Real	inflation Leg NPV	FUNCTION	NM NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
void	init For Group	FUNCTION	V P N	Java	Telegram	https://github.com/DrKLO/Telegram
Throwable	INITIALIZATION ERROR	ATTRIBUTE	NM N	Java	mockito	https://github.com/mockito/mockito
void	Initialize Dual Graph	FUNCTION	V NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
float	inner Alpha	ATTRIBUTE	NM N	Java	Telegram	https://github.com/DrKLO/Telegram
Radian	inner Angle	PARAMETER	NM N	C++	ogre	https://github.com/OGRECave/ogre
auto	inst Results	DECLARATION	NM NPL	C++	swift	https://github.com/apple/swift
InstallUncaughtExceptionHandler	Install Uncaught Exception Handler	CLASS	V NM NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
QString	institution	PARAMETER	N	C++	calligra	https://github.com/KDE/calligra
string	int Hex String	PARAMETER	NM NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
Type[]	interface Bounds	DECLARATION	NM NPL	Java	mockito	https://github.com/mockito/mockito
Internal	Internal	CLASS	NM	Java	okhttp	https://github.com/square/okhttp
InternalFFMpegRegister	Internal FFMpeg Register	CLASS	NM NM N	C++	opencv	https://github.com/opencv/opencv
Real	inv Flight K 2	DECLARATION	NM NM N D	C++	QuantLib	https://github.com/lballabio/QuantLib
float	inv unit scale	DECLARATION	NM NM N	C	blender	https://github.com/blender/blender
Interval	INVALID	ATTRIBUTE	NM	Java	antlr4	https://github.com/antlr/antlr4
String	INVALID HOST	ATTRIBUTE	NM N	Java	okhttp	https://github.com/square/okhttp
int	INVALID STATE NUMBER	ATTRIBUTE	NM NM N	Java	antlr4	https://github.com/antlr/antlr4
InverseDynamicsExample	Inverse Dynamics Example	CLASS	NM NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
Vector3	inverted Direction	DECLARATION	NM N	C++	ogre	https://github.com/OGRECave/ogre
OutputStream	ios	PARAMETER	N	Java	jenkins	https://github.com/jenkinsci/jenkins
int	is a empty	DECLARATION	V DT N	C	grpc	https://github.com/grpc/grpc
boolean	is Blocked By Shutdown	FUNCTION	V V P N	Java	jenkins	https://github.com/jenkinsci/jenkins
BitVector	Is Bridged Argument	ATTRIBUTE	V NM N	C++	swift	https://github.com/apple/swift
bool	is canon	FUNCTION	V N	C	blender	https://github.com/blender/blender
boolean	is Conscrypt Preferred	FUNCTION	V N V	Java	okhttp	https://github.com/square/okhttp
boolean	is Dependency Changed	FUNCTION	V N V	Java	antlr4	https://github.com/antlr/antlr4
boolean	is First Frame	ATTRIBUTE	V DT N	Java	okhttp	https://github.com/square/okhttp
bool	is Friend	PARAMETER	V N	C++	kdevelop	https://github.com/KDE/kdevelop
bool	is Generic Type Disambiguating Token	FUNCTION	V NM NM NM N	C++	swift	https://github.com/apple/swift
bool	Is Indirect Result	ATTRIBUTE	V NM N	C	swift	https://github.com/apple/swift
int	is partial	ATTRIBUTE	V N	C	opencv	https://github.com/opencv/opencv
bool	is Stdlib Module	FUNCTION	V NM N	C++	swift	https://github.com/apple/swift
bool	is Sum Supported	FUNCTION	V N V	C++	opencv	https://github.com/opencv/opencv
bool	is Trained	DECLARATION	V V	C++	opencv	https://github.com/opencv/opencv
bool	is Valid Trailing Closure	FUNCTION	V NM NM N	C++	swift	https://github.com/apple/swift
double	items per second	DECLARATION	NPL P N	C++	grpc	https://github.com/grpc/grpc
JarURLConnection	jar URL Connection	DECLARATION	NM NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
JFlexDummyLexer	JFlex Dummy Lexer	CLASS	PRE NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
JntArrayAcc	Jnt Array Acc	CLASS	NM NM N	C++	blender	https://github.com/blender/blender
u32	joint Start	DECLARATION	NM N	C++	irrlicht	https://github.com/zaki/irrlicht
bool	keep Aspect	ATTRIBUTE	V N	C++	calligra	https://github.com/KDE/calligra
QString	key	PARAMETER	N	C++	kdevelop	https://github.com/KDE/kdevelop
int	key Begin	DECLARATION	NM N	Java	okhttp	https://github.com/square/okhttp
queue	key Events Copy	DECLARATION	NM NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
KeyFrame	key Frame 2	PARAMETER	NM N D	C++	ogre	https://github.com/OGRECave/ogre
Setting	KEY PASSWORD PROFILES	ATTRIBUTE	NM NM NPL	Java	elasticsearch	https://github.com/elastic/elasticsearch
KeyStatus	Key Status	CLASS	NM N	Java	Telegram	https://github.com/DrKLO/Telegram
Keysym	key sym	ATTRIBUTE	NM N	C	ogre	https://github.com/OGRECave/ogre
map	kinects Copy	DECLARATION	NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
KoMainWindowPrivate	Ko Main Window Private	CLASS	PRE NM N NM	C++	calligra	https://github.com/KDE/calligra
KoPathPointRemoveCommandPrivate	Ko Path Point Remove Command Private	CLASS	PRE NM NM NM N NM	C++	calligra	https://github.com/KDE/calligra
KoRgbU8InvertColorTransformation	Ko Rgb U8 Invert Color Transformation	CLASS	PRE NM NM NM NM N	C++	calligra	https://github.com/KDE/calligra
KoSectionEndPrivate	Ko Section End Private	CLASS	PRE NM N NM	C++	calligra	https://github.com/KDE/calligra
KoShadowStylePrivate	Ko Shadow Style Private	CLASS	PRE NM N NM	C++	calligra	https://github.com/KDE/calligra
ListBase	l b layer	PARAMETER	NM NM N	C	blender	https://github.com/blender/blender
LabelAction	Label Action	CLASS	NM N	C++	calligra	https://github.com/KDE/calligra
gchar	label casefold	DECLARATION	NM N	C	gimp	https://github.com/GNOME/gimp
LabelDrawingWidget	Label Drawing Widget	CLASS	NM NM N	C++	calligra	https://github.com/KDE/calligra
int	label Op	PARAMETER	NM N	Java	antlr4	https://github.com/antlr/antlr4
LabelElementPair	label Pair	PARAMETER	NM N	Java	antlr4	https://github.com/antlr/antlr4
Pattern	label Regex	ATTRIBUTE	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
int[]	labels	PARAMETER	NPL	C++	opencv	https://github.com/opencv/opencv
String	labels File	PARAMETER	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
HashMap	language To Rules Files	ATTRIBUTE	N P NM NPL	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
Array	last Gradient	FUNCTION	DT N	C++	QuantLib	https://github.com/lballabio/QuantLib
Size	last Saved Step	ATTRIBUTE	DT NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
String	LATENCY ARG	ATTRIBUTE	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
GeglNode	layer mask source node	ATTRIBUTE	NM NM NM N	C	gimp	https://github.com/GNOME/gimp
LayerParameter	Layer Parameter	CLASS	NM N	C++	opencv	https://github.com/opencv/opencv
vector	layer sizes	DECLARATION	NM NPL	C++	opencv	https://github.com/opencv/opencv
LayoutData	Layout Data	CLASS	NM N	C++	calligra	https://github.com/KDE/calligra
double[]	learned Lop Expert Weights 2D	PARAMETER	NM NM NM NPL NM	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
Lease	Lease	CLASS	N	Java	jenkins	https://github.com/jenkinsci/jenkins
int	led Color	PARAMETER	NM N	Java	Telegram	https://github.com/DrKLO/Telegram
LeftRecursiveRuleFunction	Left Recursive Rule Function	CLASS	NM NM NM N	Java	antlr4	https://github.com/antlr/antlr4
int	left Sisters Buffer	DECLARATION	NM NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
int	len r	PARAMETER	NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
LessDummyGuiHelper	Less Dummy Gui Helper	CLASS	NM NM NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
unsigned	lhs Component	DECLARATION	NM N	C++	swift	https://github.com/apple/swift
LightAttenuationValue	Light Attenuation Value	CLASS	NM NM N	C++	ogre	https://github.com/OGRECave/ogre
vector3df	light Dim	PARAMETER	NM N	C++	irrlicht	https://github.com/zaki/irrlicht
double	line 1 grad	DECLARATION	NM D N	C	gimp	https://github.com/GNOME/gimp
int	line index mask len	PARAMETER	NM NM NM N	C	blender	https://github.com/blender/blender
int	line Y	DECLARATION	NM N	C++	calligra	https://github.com/KDE/calligra
c8[]	Link Name	ATTRIBUTE	NM N	C	irrlicht	https://github.com/zaki/irrlicht
QUrl	link URL	DECLARATION	NM N	C++	calligra	https://github.com/KDE/calligra
ListLevel	List Level	CLASS	NM N	C++	calligra	https://github.com/KDE/calligra
ResultBucket	literal Bucket	PARAMETER	NM N	C++	swift	https://github.com/apple/swift
int	loaded mentions count	DECLARATION	NM NM N	Java	Telegram	https://github.com/DrKLO/Telegram
LocalRef	Local Ref	CLASS	NM N	Java	antlr4	https://github.com/antlr/antlr4
vector	locations	ATTRIBUTE	NPL	C++	QuantLib	https://github.com/lballabio/QuantLib
bool	locking	PARAMETER	V	C++	grpc	https://github.com/grpc/grpc
LogMixedLinearCubicInterpolation	Log Mixed Linear Cubic Interpolation	CLASS	NM NM NM NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
Logger	LOGGER	ATTRIBUTE	N	Java	jenkins	https://github.com/jenkinsci/jenkins
String[]	logger Name Parts	DECLARATION	NM NM NPL	Java	jenkins	https://github.com/jenkinsci/jenkins
Real	lower Boundary Factor	FUNCTION	NM NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
int	lower tail	DECLARATION	NM N	C++	calligra	https://github.com/KDE/calligra
String	lp Binary Path Name	PARAMETER	PRE NM NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
LsmBasisSystem	Lsm Basis System	CLASS	NM NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
LVLCurrency	LVL Currency	CLASS	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
VcsAnnotation	m annotation	ATTRIBUTE	PRE N	C++	kdevelop	https://github.com/KDE/kdevelop
b3Scalar	m contact Motion 1	ATTRIBUTE	PRE NM N D	C++	bullet3	https://github.com/bulletphysics/bullet3
int	m count Activities	ATTRIBUTE	PRE NM NPL	Java	openFrameworks	https://github.com/openframeworks/openFrameworks
bool	m execute On Host	ATTRIBUTE	PRE V P N	C++	kdevelop	https://github.com/KDE/kdevelop
int	m FBO Height	ATTRIBUTE	PRE NM N	Java	opencv	https://github.com/opencv/opencv
b3OpenCLArray	m gpu Rays	ATTRIBUTE	PRE NM NPL	C++	bullet3	https://github.com/bulletphysics/bullet3
bool	m is indx present	ATTRIBUTE	PRE V NM N	C++	opencv	https://github.com/opencv/opencv
float	m Line Dash Offset	ATTRIBUTE	PRE NM NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
int	m num Visual Shapes Copied	ATTRIBUTE	PRE NM NM NM N	C	bullet3	https://github.com/bulletphysics/bullet3
Mode	m paste Mode	ATTRIBUTE	PRE NM N	C++	calligra	https://github.com/KDE/calligra
char[]	m post Fix	ATTRIBUTE	PRE NM N	C	bullet3	https://github.com/bulletphysics/bullet3
MultiBodyTree	m reference	ATTRIBUTE	PRE N	C++	bullet3	https://github.com/bulletphysics/bullet3
UserDataRequestArgs	m remove User Data Response Args	ATTRIBUTE	PRE NM NM NM NM NPL	C	bullet3	https://github.com/bulletphysics/bullet3
Resources	m Resources	ATTRIBUTE	PRE NPL	Java	opencv	https://github.com/opencv/opencv
streambuf	m sbuf	ATTRIBUTE	PRE N	C++	ogre	https://github.com/OGRECave/ogre
Pass	m Shadow Receiver Pass	ATTRIBUTE	PRE NM NM N	C	ogre	https://github.com/OGRECave/ogre
Quaternion	m Sky Box Orientation	ATTRIBUTE	PRE NM NM N	C	ogre	https://github.com/OGRECave/ogre
uint8	m Sky Plane Render Queue	ATTRIBUTE	PRE NM NM NM N	C	ogre	https://github.com/OGRECave/ogre
QStringList	m text Types	ATTRIBUTE	PRE NM NPL	C++	kdevelop	https://github.com/KDE/kdevelop
b3TransformChangeNotificationArgs	m transform Change Args	ATTRIBUTE	PRE NM NM NPL	C	bullet3	https://github.com/bulletphysics/bullet3
ParameterPtr	m VS Out Light Position	ATTRIBUTE	PRE NM NM NM N	C	ogre	https://github.com/OGRECave/ogre
Queue	m weaver	ATTRIBUTE	PRE N	C++	kdevelop	https://github.com/KDE/kdevelop
int	m window Width	ATTRIBUTE	PRE NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
CodeCompletionWorker	m worker	ATTRIBUTE	PRE N	C++	kdevelop	https://github.com/KDE/kdevelop
ZoomController	m zoom Controller	ATTRIBUTE	PRE NM N	C++	kdevelop	https://github.com/KDE/kdevelop
MainClass	Main Class	CLASS	NM N	C#	grpc	https://github.com/grpc/grpc
String	make HTML Table	FUNCTION	V NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
String	MANIFEST FILE PREFIX	ATTRIBUTE	NM NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
guchar	mapped color	PARAMETER	NM N	C	gimp	https://github.com/GNOME/gimp
vector	mapped labels	DECLARATION	NM NPL	C++	opencv	https://github.com/opencv/opencv
Maps	Maps	CLASS	NPL	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
void	mark As Fetching	FUNCTION	V P V	Java	elasticsearch	https://github.com/elastic/elasticsearch
MaskComponents	Mask Components	CLASS	NM NPL	C++	gimp.idents	https://github.com/GNOME/gimp
boolean	match By IP	FUNCTION	V P N	Java	elasticsearch	https://github.com/elastic/elasticsearch
ExpectedExceptionMatcherBuilder	matcher Builder	ATTRIBUTE	NM N	Java	junit4	https://github.com/junit-team/junit4
boolean	matches Any Parent Categories	FUNCTION	V DT NM NPL	Java	junit4	https://github.com/junit-team/junit4
long	max Age Seconds Long	DECLARATION	NM NM NPL N	Java	okhttp	https://github.com/square/okhttp
sharedptr	max basket	DECLARATION	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
int	max Buffer Size	ATTRIBUTE	NM NM N	C++	opencv	https://github.com/opencv/opencv
MaxCore	Max Core	CLASS	NM N	Java	junit4	https://github.com/junit-team/junit4
int	max Draw Buffers	FUNCTION	NM NM NPL	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
quint64	max File Open	ATTRIBUTE	NM N NM	C++	kdevelop	https://github.com/KDE/kdevelop
sizet	max input size	DECLARATION	NM NM N	C++	grpc	https://github.com/grpc/grpc
int	max Requests Per Host	PARAMETER	NM NPL P N	Java	okhttp	https://github.com/square/okhttp
double	max scale f	PARAMETER	NM NM N	C++	opencv	https://github.com/opencv/opencv
int	max width	ATTRIBUTE	NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
sizet	max Work Group Size	ATTRIBUTE	NM NM NM N	C++	opencv	https://github.com/opencv/opencv
void	maximize All	FUNCTION	V DT	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
int	media Chunk Index	PARAMETER	NM NM N	Java	Telegram	https://github.com/DrKLO/Telegram
MediaChunkIterator	Media Chunk Iterator	CLASS	NM NM N	Java	Telegram	https://github.com/DrKLO/Telegram
uint	melanin ofs	DECLARATION	NM N	C	blender	https://github.com/blender/blender
MentionDetectionEvaluator	Mention Detection Evaluator	CLASS	NM NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
String	merged Type	DECLARATION	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
MetadataSnapshot	metadata Snapshot	FUNCTION	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
Class	method Handles	DECLARATION	NM NPL	Java	mockito	https://github.com/mockito/mockito
auto	method index	DECLARATION	NM N	C++	grpc	https://github.com/grpc/grpc
String[]	method Name Prefixes	PARAMETER	NM NM NPL	Java	junit4	https://github.com/junit-team/junit4
double	Min Error	PARAMETER	NM N	C++	opencv	https://github.com/opencv/opencv
int	min Font Size	ATTRIBUTE	NM NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
int	min Fresh	PARAMETER	NM N	Java	okhttp	https://github.com/square/okhttp
int	min Fresh Seconds	PARAMETER	NM NM NPL	Java	okhttp	https://github.com/square/okhttp
TransducerGraph	minimized Random FA	DECLARATION	NM NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
MINIMUM_SUPPORTED_VERSION	MINIMUM SUPPORTED VERSION	CLASS	NM NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
Set	missing Classes	DECLARATION	NM NPL	Java	elasticsearch	https://github.com/elastic/elasticsearch
vector	mkt Factors	PARAMETER	NM NPL	C++	QuantLib	https://github.com/lballabio/QuantLib
MockCreationSettings	mock Creation Settings	PARAMETER	NM NM NPL	Java	mockito	https://github.com/mockito/mockito
MockCreationValidator	Mock Creation Validator	CLASS	NM NM N	Java	mockito	https://github.com/mockito/mockito
Method	mock Method	DECLARATION	NM N	Java	mockito	https://github.com/mockito/mockito
MockReference	mock Ref	ATTRIBUTE	NM N	Java	mockito	https://github.com/mockito/mockito
MockitoAssertionError	Mockito Assertion Error	CLASS	PRE NM N	Java	mockito	https://github.com/mockito/mockito
ModificationInterface	mod Iface	DECLARATION	NM N	C++	kdevelop	https://github.com/KDE/kdevelop
Sezpoz	module Finder	ATTRIBUTE	NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
ModuleHandler	Module Handler	CLASS	NM N	Java	mockito	https://github.com/mockito/mockito
MonoPInvokeCallbackAttribute	Mono P Invoke Callback Attribute	CLASS	NM NM NM NM N	C#	grpc	https://github.com/grpc/grpc
int	MORE	ATTRIBUTE	DT	Java	antlr4	https://github.com/antlr/antlr4
MediaHandler	movie Media Handler	DECLARATION	NM NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
Mp4Extractor	Mp4 Extractor	CLASS	NM N	Java	Telegram	https://github.com/DrKLO/Telegram
MP4Input	MP4 Input	CLASS	NM N	Java	Telegram	https://github.com/DrKLO/Telegram
MpegAudioReader	Mpeg Audio Reader	CLASS	NM NM N	Java	Telegram	https://github.com/DrKLO/Telegram
mutex	mtx	ATTRIBUTE	N	C++	opencv	https://github.com/opencv/opencv
MultiCubicSpline	MultiCubic Spline	CLASS	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
MultipleFailureException	Multiple Failure Exception	CLASS	NM NM N	Java	junit4	https://github.com/junit-team/junit4
bool	multiple Occurences	ATTRIBUTE	NM NPL	C++	calligra	https://github.com/KDE/calligra
MultiPolygon	MultiPolygon	CLASS	N	Java	elasticsearch	https://github.com/elastic/elasticsearch
ThreadMXBean	mx Bean	DECLARATION	NM N	Java	junit4	https://github.com/junit-team/junit4
NormalDistribution	n d	ATTRIBUTE	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
gint32	n layers	PARAMETER	NM NPL	C	gimp	https://github.com/GNOME/gimp
int nrepeats	n repeats	DECLARATION	NM NPL	C++	opencv	https://github.com/opencv/opencv
float	n Shininess	PARAMETER	NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
vector3d	n vector	PARAMETER	NM N	C	irrlicht	https://github.com/zaki/irrlicht
LinearLayout	name Container	ATTRIBUTE	NM N	Java	Telegram	https://github.com/DrKLO/Telegram
List	named Writeables	PARAMETER	NM NPL	Java	elasticsearch	https://github.com/elastic/elasticsearch
