TYPE,SPLIT,CONTEXT,GRAMMAR_PATTERN,LANGUAGE,SYSTEM_NAME
String,error Description,PARAMETER,NM N,Java,cloudkit
class,Error Handler,CLASS,NM N,Java,gridview
String,error Message,ATTRIBUTE,NM N,Java,springcore
Set,error Messages,DECLARATION,NM NPL,Java,springcore
void,evaluate Accuracy,FUNCTION,V N,Java,dataforge
class,Event Handler,CLASS,NM N,Java,springcore
int,event Mask,DECLARATION,NM N,C,nexus
int,eventually Consistent State,DECLARATION,VM NM N,Java,dataforge
long,every Listener,DECLARATION,DT N,Java,springcore
uint32_t,every Tick,DECLARATION,DT N,C++,titan
void,evict Cache Immediately,FUNCTION,V N VM,Java,cloudkit
void,evict Entry,FUNCTION,V N,Java,cloudkit
void,evict If Full,FUNCTION,V CJ NM,Java,cloudkit
Map,excluded Fields,PARAMETER,NM NPL,Java,springcore
void,execute,FUNCTION,V,Java,springcore
void,execute Concurrently,FUNCTION,V VM,Java,vortex
String,execute Query,FUNCTION,V N,Java,dataforge
void,execute Transaction,FUNCTION,V N,Java,dataforge
uint32_t,exit Code,DECLARATION,NM N,C,kron
int,expected Packet Length,DECLARATION,NM NM N,C,volt
QString,expected Token Type,DECLARATION,NM NM N,C++,corelib
Integer,expiration Date,ATTRIBUTE,NM N,Java,springcore
boolean,expired Tokens,DECLARATION,NM NPL,Java,netpulse
void,export After,FUNCTION,V P,C,trak
void,export Settings,FUNCTION,V NPL,Java,webstack
void,export To Stream,FUNCTION,V P N,Java,beanworks
float,f Scale,DECLARATION,PRE N,C,pixl
List,failed Attempts,DECLARATION,NM NPL,Java,webstack
class,Feature Extractor,CLASS,NM N,Java,dataforge
void,fetch Or Create,FUNCTION,V CJ V,Java,springcore
Map,fetch Records,FUNCTION,V NPL,Java,dataforge
Collection,fetch Remote Files,FUNCTION,V NM NPL,Java,dataforge
Void,fetch Weather Data,FUNCTION,V NM N,swift,gridview
List,fields,ATTRIBUTE,NPL,Java,springcore
int,file Descriptor,DECLARATION,NM N,C,kron
string,file Path,DECLARATION,NM N,C++,apex
class,File Reader,CLASS,NM N,Java,springcore
long,file Size,ATTRIBUTE,NM N,C,coda
void,fill Polygon,FUNCTION,V N,C,pixl
String,filter By Type,FUNCTION,V P N,Java,dataforge
Integer,filter Conditions,PARAMETER,NM NPL,Java,dataforge
String,filter Expression,PARAMETER,NM N,Java,dataforge
Map,filtered Events,PARAMETER,NM NPL,Java,netpulse
void,finalize Object,FUNCTION,V N,Java,javelin
bool,find All Expired Certificates,FUNCTION,V NM NM NPL,Java,netpulse
void,find All Matches,FUNCTION,V DT NPL,Java,dataforge
bool,find All Pending Migrations,FUNCTION,V DT NM NPL,Java,beanworks
Collection,find All Subscribers,FUNCTION,V DT NPL,Java,netpulse
Map,find All Textures,FUNCTION,V DT NPL,Java,gridview
Integer,find By Id,FUNCTION,V P N,Java,dataforge
int*,find Dangling Pointers,FUNCTION,V NM NPL,C,aeon
void,find Dead Thread Groups,FUNCTION,V NM NM NPL,C++,vortex
void,find Each Occurrence,FUNCTION,V DT N,Java,dataforge
void,find First Available Worker,FUNCTION,V DT NM N,Java,cloudkit
void,find First Element,FUNCTION,V DT N,C++,sigma
void,find First Session,FUNCTION,V DT N,Java,byteforge
void,find First Shard,FUNCTION,V DT N,Java,cloudkit
bool,find First Valid Index,FUNCTION,V DT NM N,C++,sigma
char*,find Last Token,FUNCTION,V DT N,C,ember
std::vector,find Matching Nodes,FUNCTION,V NM NPL,C++,sigma
void,find Next Match,FUNCTION,V DT N,C++,corelib
int,find Next Vertex,FUNCTION,V DT N,C++,prism
std::vector,find Orphaned Nodes,FUNCTION,V NM NPL,C++,sigma
List,find Unresolved Dependencies,FUNCTION,V NM NPL,Java,beanworks
void,fire Up,FUNCTION,V P,Java,beanworks
size_t,firmware Version,ATTRIBUTE,NM N,C++,oxide
Integer,first Available Worker,DECLARATION,DT NM N,Java,cloudkit
size_t,first Child,ATTRIBUTE,DT N,C++,vortex
Double,first Committed Offset Value,DECLARATION,DT NM NM N,Java,netpulse
int,first Element,DECLARATION,DT N,C++,sigma
String,first Name,ATTRIBUTE,DT N,Java,springcore
Integer,first Record,PARAMETER,DT N,Java,quill
long,first Replica,ATTRIBUTE,DT N,Java,cloudkit
Integer,first Shard,DECLARATION,DT N,Java,cloudkit
bool,first Valid Index,DECLARATION,DT NM N,C++,sigma
int,flags,PARAMETER,NPL,C,blitz
std::vector,flatten Tree,FUNCTION,V N,C++,helix
void,float 2 half,FUNCTION,N P N,C++,quark
void,flush,FUNCTION,V,C,forge
void,flush Buffers,FUNCTION,V NPL,C,coda
void,flush Cache To Memory,FUNCTION,V N P N,C,aeon
void,flush If Pending,FUNCTION,V CJ NM,C,coda
void,flush Immediately,FUNCTION,V VM,C,ember
void,flush Output Stream,FUNCTION,V NM N,Java,springcore
void,flush Pending Writes,FUNCTION,V NM NPL,C,coda
void,flush Stream,FUNCTION,V N,C,forge
int,flux register event listener,FUNCTION,PRE V NM N,C,flux
void,flux send packet,FUNCTION,PRE V N,C,flux
QString,font Family,DECLARATION,NM N,C++,titan
string,font Name,PARAMETER,NM N,C++,vortex
class,Font Rasterizer,CLASS,NM N,C++,titan
double,font Weight,ATTRIBUTE,NM N,C++,corelib
unsigned,for Loop,DECLARATION,P N,C,libvx
uint32_t,for List,PARAMETER,P N,C,coda
bool,force col 2 im,PARAMETER,V N P N,C++,neutron
bool,force nd im 2 col,ATTRIBUTE,V NM N P N,C++,neutron
int,foreground Color,ATTRIBUTE,NM N,Java,gridview
int,forge file handle,DECLARATION,PRE NM N,C,forge
void,forge flush,FUNCTION,PRE V,C,forge
int*,forge handles,DECLARATION,PRE NPL,C,forge
void*,forge list open handles,FUNCTION,PRE V NM NPL,C,forge
void,forge read config file,FUNCTION,PRE V NM N,C,forge
void*,forge release handles,FUNCTION,PRE V NPL,C,forge
int,forge str 2 int,FUNCTION,PRE N P N,C,forge
void,forge write file,FUNCTION,PRE V N,C,forge
void,forge writer,FUNCTION,PRE N,C,forge
void,fork Process,FUNCTION,V N,C,kron
void,format As JSON,FUNCTION,V P N,Java,springcore
class,Formatter,CLASS,N,Java,beanworks
int,fragment Shader,DECLARATION,NM N,C++,apex
uint32_t,frame Rate,DECLARATION,NM N,C++,corelib
uint32_t,frames Per Second,DECLARATION,NPL P N,C++,prism
int,frequency Band,DECLARATION,NM N,C,plex
void,from Bytes,FUNCTION,P NPL,C,volt
Set,from Bytes,FUNCTION,P NPL,Java,springcore
int,from Disk,DECLARATION,P N,C,coda
void,from JSON,FUNCTION,P N,Java,springcore
Set,from Records,FUNCTION,P NPL,Java,beanworks
int,from Remote Server,PARAMETER,P NM N,Java,nodelink
int,from Source,DECLARATION,P N,Java,dataforge
Integer,from Source Stream,PARAMETER,P NM N,Java,netpulse
String,from String,FUNCTION,P N,Java,beanworks
unsigned,g Instance,DECLARATION,PRE N,C,libvx
class,Garbage Collector,CLASS,NM N,Java,javelin
uint32_t,generate Code,FUNCTION,V N,C++,corelib
class,Gesture Recognizer,CLASS,NM N,swift,webstack
boolean,get Active Session Count,FUNCTION,V NM NM N,Java,cloudkit
boolean,get Active Sessions,FUNCTION,V NM NPL,Java,cloudkit
bool,get Active Thread Count,FUNCTION,V NM NM N,Java,springcore
bool,get Active Users,FUNCTION,V NM NPL,Java,springcore
int,get Address And Port,FUNCTION,V N CJ N,C,volt
boolean,get All Active Connections,FUNCTION,V DT NM NPL,Java,nodelink
boolean,get All Active Sessions,FUNCTION,V DT NM NPL,Java,cloudkit
boolean,get All Active Users,FUNCTION,V DT NM NPL,Java,springcore
boolean,get All Connected Clients,FUNCTION,V DT NM NPL,Java,netpulse
Set,get All Connections,FUNCTION,V DT NPL,Java,nodelink
List,get All Endpoints,FUNCTION,V DT NPL,Java,netpulse
Map,get All Items,FUNCTION,V DT NPL,Java,springcore
List,get All Partitions,FUNCTION,V DT NPL,Java,beanworks
List,get All Properties,FUNCTION,V DT NPL,Java,springcore
Map,get Available Workers,FUNCTION,V NM NPL,Java,cloudkit
Set,get Blocked Threads,FUNCTION,V NM NPL,Java,cloudkit
void,get Cache Entry,FUNCTION,V NM N,Java,bytecraft
List,get Completed Tasks,FUNCTION,V NM NPL,Java,cloudkit
Collection,get Connection Pool,FUNCTION,V NM N,Java,nodelink
void,get Current Animation Frame,FUNCTION,V NM NM N,C++,titan
void,get Current Frame,FUNCTION,V NM N,C++,prism
int,get Current Page Index,FUNCTION,V NM NM N,Java,gridview
int,get Default Initial Pool Size,FUNCTION,V NM NM NM N,Java,cloudkit
String,get Display Mode,FUNCTION,V NM N,Java,gridview
void,get Each Partition,FUNCTION,V DT N,Java,beanworks
uint32_t,get Error Code,FUNCTION,V NM N,C++,sigma
long,get Expected Packet Length,FUNCTION,V NM NM N,C,volt
QString,get Expected Token Type,FUNCTION,V NM NM N,C++,corelib
int,get Frame Rate,FUNCTION,V NM N,C++,apex
void,get Glyph Metrics,FUNCTION,V NM NPL,C++,titan
void,get Heap Usage,FUNCTION,V NM N,C,aeon
unsigned,get Host And Port,FUNCTION,V N CJ N,C,drift
List,get Items,FUNCTION,V NPL,Java,springcore
int,get Last Committed Offset,FUNCTION,V DT NM N,Java,netpulse
void,get Last Error,FUNCTION,V DT N,C,libvx
int,get Last Error Code,FUNCTION,V DT NM N,C,drift
String,get Last Error Message,FUNCTION,V DT NM N,Java,pulseforge
void,get Last Known Position,FUNCTION,V DT NM N,C++,apex
void,get Last Modified Date,FUNCTION,V DT NM N,Java,dataforge
void,get Last Packet,FUNCTION,V DT N,C,volt
void,get Last Received Packet,FUNCTION,V DT NM N,C,volt
void*,get Mapped Regions,FUNCTION,V NM NPL,C,aeon
long,get Max Allowed Retry Count,FUNCTION,V NM NM NM N,Java,nodelink
long,get Max Buffer Size,FUNCTION,V NM NM N,C++,neutron
Set,get Max Concurrent Workers,FUNCTION,V NM NM NPL,Java,cloudkit
long,get Max Heap Capacity,FUNCTION,V NM NM N,C,aeon
int,get Max Size,FUNCTION,V NM N,Java,springcore
String,get Name And Type,FUNCTION,V N CJ N,Java,springcore
void,get Next Available Slot,FUNCTION,V DT NM N,Java,springcore
void,get Next Bucket,FUNCTION,V DT N,C++,halcyon
void,get Next Entry,FUNCTION,V DT N,C++,oxide
void,get Next Frame,FUNCTION,V DT N,C++,prism
boolean,get Next Pending Migration,FUNCTION,V DT NM N,Java,beanworks
void,get Next Scheduled Task,FUNCTION,V DT NM N,Java,cloudkit
QString,get Next Token,FUNCTION,V DT N,C++,corelib
void,get Next Worker,FUNCTION,V DT N,C,aurora
std::string,get Node Type,FUNCTION,V NM N,C++,corelib
List,get Open Connections,FUNCTION,V NM NPL,Java,nodelink
const char*,get Packet Header,FUNCTION,V NM N,C,volt
bool,get Pending Transactions,FUNCTION,V NM NPL,Java,beanworks
void,get Plugin Metadata,FUNCTION,V NM N,Java,beanworks
void,get Reader And Writer,FUNCTION,V N CJ N,C++,northstar
Set,get Registered Plugins,FUNCTION,V NM NPL,Java,beanworks
void,get Remaining Disk Space,FUNCTION,V NM NM N,C,coda
void,get Replica Status,FUNCTION,V NM N,Java,cloudkit
double,get Retry Interval,FUNCTION,V NM N,Java,cloudkit
List,get Selected Items,FUNCTION,V NM NPL,Java,gridview
void,get Session,FUNCTION,V N,Java,springcore
Integer,get Session Id,FUNCTION,V NM N,Java,springcore
Integer,get Shard Count,FUNCTION,V NM N,Java,beanworks
void,get Signal Mask,FUNCTION,V NM N,C,dusk
boolean,get Sorted Keys,FUNCTION,V NM NPL,Java,bytecraft
List,get Stack Trace,FUNCTION,V NM N,Java,cloudkit
void,get Tenant Config,FUNCTION,V NM N,Java,cloudkit
void,get This Instance,FUNCTION,V DT N,Java,springcore
int,get Total Byte Count,FUNCTION,V NM NM N,C,volt
void,get Total Elapsed Time,FUNCTION,V NM NM N,C++,sigma
void,get Trace Context,FUNCTION,V NM N,Java,cloudkit
double,get Value,FUNCTION,V N,Java,springcore
boolean,get Visible Columns,FUNCTION,V NM NPL,Java,gridview
int,gl 1,DECLARATION,N D,C,prism
uint32_t,global Error State,DECLARATION,NM NM N,C,libvx
long,glyph Index,DECLARATION,NM N,C++,titan
int,gradient Stop,DECLARATION,NM N,C++,prism
void,grant Privileges,FUNCTION,V NPL,Java,webstack
long,gravity Force,DECLARATION,NM N,C++,apex
void,gray 2 rgb,FUNCTION,N P N,C++,pixl
int,grip clock,DECLARATION,PRE N,C,grip
void,grip init,FUNCTION,PRE V,C,grip
void,grip schedule alarm,FUNCTION,PRE V N,C,grip
void,grip timer,FUNCTION,PRE N,C,grip
int,grip timer resolution,DECLARATION,PRE NM N,C,grip
void,group By Category,FUNCTION,V P N,Java,dataforge
long,group Id,ATTRIBUTE,NM N,Java,beanworks
unsigned,h Window,DECLARATION,PRE N,C,kron
class,Halcyon Buffer Catalog,CLASS,PRE NM N,C++,halcyon
void,halcyon get cache line,FUNCTION,PRE V NM N,C++,halcyon
void,halcyon set render state,FUNCTION,PRE V NM N,C++,halcyon
void,half 2 float,FUNCTION,N P N,C++,quark
int,handle,PARAMETER,N,C,kron
void,handle Request,FUNCTION,V N,Java,springcore
List,handlers,DECLARATION,NPL,C++,vortex
boolean,has All,FUNCTION,V DT,Java,javelin
bool,has Children,DECLARATION,V NPL,C++,sigma
boolean,has Error,DECLARATION,V N,Java,springcore
bool,has Focus,DECLARATION,V N,Java,gridview
bool,has Lock,DECLARATION,V N,C++,oxide
bool,has Next,FUNCTION,V DT,Java,bytecraft
int,has Payload,DECLARATION,V N,C,volt
boolean,has Permission,DECLARATION,V N,Java,springcore
boolean,has Permission,ATTRIBUTE,V N,Java,springcore
boolean,has Permission_decl,DECLARATION,V N,Java,webstack
bool,has Replicas,DECLARATION,V NPL,Java,cloudkit
bool,has Some,FUNCTION,V DT,Java,javelin
bool,has Subscribers,DECLARATION,V N,Java,netpulse
long,hash Code,DECLARATION,NM N,Java,dataforge
void,hash Password,FUNCTION,V N,C,zeno
unsigned,hash Seed 42,DECLARATION,NM N D,C,forge
String,header Name,PARAMETER,NM N,Java,springcore
unsigned,header Offset,DECLARATION,NM N,C,volt
int*,headers,PARAMETER,NPL,C,volt
class,Health Monitor,CLASS,NM N,Java,cloudkit
std::vector,health Points,ATTRIBUTE,NM NPL,C++,apex
uint32_t,heap Size,DECLARATION,NM N,C,aeon
int,height,DECLARATION,N,C,pixl
size_t,height_attr,ATTRIBUTE,N,C++,vortex
int*,hex 2 bytes,FUNCTION,N P NPL,C,forge
int,hex 2 dec,FUNCTION,N P N,C,forge
uint32_t,host And Port,DECLARATION,N CJ N,C,nexus
uint32_t,host And Service,PARAMETER,N CJ N,C,drift
char*,host Or IP Address,PARAMETER,NM CJ NM N,C,volt
class,HTTP Client,CLASS,NM N,Java,springcore
Integer,http Status,DECLARATION,NM N,Java,springcore
int,i,DECLARATION,N,C,libvx
uint32_t,i Index,DECLARATION,PRE N,C,libvx
int,id,ATTRIBUTE,N,Java,dataforge
void,im 2 col,FUNCTION,N P N,C++,neutron
bool,im 2 col,PARAMETER,N P N,C++,neutron
bool,im 2 col,DECLARATION,N P N,C++,neutron
class,Im 2 Col,CLASS,N P N,C++,neutron
class,Immutable Set,CLASS,NM N,Java,bytecraft
void,import Before,FUNCTION,V P,Java,beanworks
void,import From File,FUNCTION,V P N,Java,beanworks
void,import Modules,FUNCTION,V NPL,C++,helix
unsigned,in Memory,DECLARATION,P N,C,aeon
int,in Order,PARAMETER,P N,C++,sigma
vector,in Queue,DECLARATION,P N,C++,vortex
long,index,DECLARATION,N,C,blitz
long,index Count,PARAMETER,NM N,C++,prism
long,index Of Element,PARAMETER,N P N,Java,bytecraft
int,index Of First Match,PARAMETER,N P NM N,Java,javelin
void*,indices,PARAMETER,NPL,C,libvx
uint32_t,initial Buffer Capacity,PARAMETER,NM NM N,C++,apex
float,initial Capacity Factor,DECLARATION,NM NM N,Java,bytecraft
int,initial Page Load Time,DECLARATION,NM NM NM N,Java,gridview
long,initial Pool Capacity,PARAMETER,NM NM N,Java,cloudkit
void,initialize,FUNCTION,V,C++,neutron
void,initialize Lazily,FUNCTION,V VM,Java,cloudkit
void,initialize Module,FUNCTION,V N,C++,neutron
int,inode Number,ATTRIBUTE,NM N,C,trak
int,input And Output,DECLARATION,N CJ N,C,forge
void*,input Files,PARAMETER,NM NPL,C,forge
long,input Or Output,ATTRIBUTE,N CJ N,C++,apex
string,input Or Output Mode,DECLARATION,N CJ NM N,C++,apex
long,input Size,PARAMETER,NM N,C++,neutron
Integer,input Stream,DECLARATION,NM N,Java,springcore
Integer,insert Row At Index,FUNCTION,V N P N,Java,gridview
void,inspect Element,FUNCTION,V N,Java,webstack
char*,int 2 chars,FUNCTION,N P NPL,C,forge
String,int 2 str,FUNCTION,N P N,Java,bytecraft
class,Interceptor,CLASS,N,Java,webstack
void,internally Handle Error,FUNCTION,VM V N,C++,apex
void,interpolate Color,FUNCTION,V N,C++,prism
uint32_t,interrupt Vector,DECLARATION,NM N,C,trak
Double,interval,DECLARATION,N,Java,springcore
boolean,is Active Handle,ATTRIBUTE,V NM N,Java,springcore
boolean,is Alive,FUNCTION,V V,Java,cloudkit
boolean,is Authenticated,DECLARATION,V V,Java,webstack
bool,is Bound,DECLARATION,V V,C++,prism
boolean,is Cached,ATTRIBUTE,V V,Java,cloudkit
boolean,is Complete,FUNCTION,V V,Java,beanworks
int,is Compressed,DECLARATION,V V,C,coda
bool,is Connected Port,DECLARATION,V NM N,Java,nodelink
boolean,is Deleted Handle,ATTRIBUTE,V NM N,Java,dataforge
bool,is Dirty,ATTRIBUTE,V V,C,aeon
boolean,is Empty String,DECLARATION,V NM N,Java,bytecraft
boolean,is Enabled Path,FUNCTION,V NM N,Java,gridview
int,is Encrypted,DECLARATION,V V,C,zeno
bool,is Expired,DECLARATION,V V,Java,cloudkit
bool,is Final Value,DECLARATION,V NM N,Java,bytecraft
boolean,is Focused Window,ATTRIBUTE,V NM N,Java,gridview
boolean,is Healthy,FUNCTION,V V,Java,cloudkit
bool,is Hovered Icon,ATTRIBUTE,V NM N,Java,gridview
bool,is Initialized Object,DECLARATION,V NM N,C++,neutron
bool,is Locked Mutex,DECLARATION,V NM N,C++,vortex
boolean,is Mutable,DECLARATION,V NM,Java,javelin
bool,is Null Value,DECLARATION,V NM N,Java,springcore
boolean,is Pending,DECLARATION,V V,Java,cloudkit
boolean,is Reachable,DECLARATION,V NM,Java,netpulse
int,is Readable,ATTRIBUTE,V NM,C,coda
boolean,is Ready Source,FUNCTION,V NM N,Java,springcore
bool,is Running,DECLARATION,V V,C++,vortex
bool,is Sorted,DECLARATION,V V,C++,quark
boolean,is Stale,ATTRIBUTE,V V,Java,cloudkit
boolean,is Visible Button,DECLARATION,V NM N,Java,gridview
boolean,is Working,DECLARATION,V V,Java,springcore
bool,is Writable,ATTRIBUTE,V NM,C,coda
Set,items,DECLARATION,NPL,Java,springcore
Collection,items In Queue,DECLARATION,NPL P N,Java,springcore
int,iteration Count,PARAMETER,NM N,C++,quark
class,Iterator,CLASS,N,Java,bytecraft
int,j,DECLARATION,N,C,blitz
void,join Thread,FUNCTION,V N,C++,vortex
Object,json 2 obj,FUNCTION,N P N,Java,beanworks
uint32_t,k Cache Line,DECLARATION,PRE NM N,C,aurora
bool,k im 2 col,DECLARATION,NM N P N,C++,neutron
int,kernel,DECLARATION,N,C,trak
long,key,PARAMETER,N,C,forge
int,key 2 idx,DECLARATION,N P N,C,forge
Double,key And Value,DECLARATION,N CJ N,Java,bytecraft
int,key Length,PARAMETER,NM N,C,forge
int,key Or Default,PARAMETER,N CJ N,Java,javelin
unsigned,kron event mask,DECLARATION,PRE NM N,C,kron
void,kron handle,FUNCTION,PRE N,C,kron
void,kron reset,FUNCTION,PRE V,C,kron
void,kron start timer,FUNCTION,PRE V N,C,kron
long,kron timer,DECLARATION,PRE N,C,kron
String,label,ATTRIBUTE,N,Java,gridview
long,label Vector,PARAMETER,NM N,C++,neutron
bool,last Active Panel,DECLARATION,DT NM N,C++,northstar
long,last Committed Offset,DECLARATION,DT NM N,Java,netpulse
int,last Error,DECLARATION,DT N,C,libvx
int,last Heartbeat Time,ATTRIBUTE,DT NM N,Java,cloudkit
long,last Known Good Config,DECLARATION,DT NM NM N,C++,apex
int,last Known Good Snapshot,DECLARATION,DT NM NM N,Java,beanworks
long,last Known Position,DECLARATION,DT NM N,C++,apex
int,last Known Replica,ATTRIBUTE,DT NM N,Java,cloudkit
int,last Known Status,DECLARATION,DT NM N,Java,pulseforge
Integer,last Login Date,ATTRIBUTE,DT NM N,Java,springcore
Set,last Modified Records,ATTRIBUTE,DT NM NPL,Java,beanworks
long,last Modified Time,DECLARATION,DT NM N,Java,dataforge
String,last Name,ATTRIBUTE,DT N,Java,springcore
int,last Packet,DECLARATION,DT N,C,volt
int,last Processed Index,DECLARATION,DT NM N,Java,dataforge
int,last Received Packet,DECLARATION,DT NM N,C,volt
Integer,last Response,ATTRIBUTE,DT N,Java,netpulse
Integer,last Retry,ATTRIBUTE,DT N,Java,northstar
int,last Retry Slot,ATTRIBUTE,DT NM N,Java,pulseforge
Integer,last Snapshot,DECLARATION,DT N,Java,beanworks
Integer,last Update,ATTRIBUTE,DT N,Java,springcore
Integer,latitude And Longitude,ATTRIBUTE,N CJ N,Java,gridview
uint32_t,layer 0,DECLARATION,N D,C++,apex
int,layer 1,DECLARATION,N D,C++,prism
class,Layout Engine,CLASS,NM N,Java,webstack
int,lazily Computed,ATTRIBUTE,VM V,Java,cloudkit
void,lazily Initialize Cache,FUNCTION,VM V N,Java,bytecraft
void,lazily Load Resource,FUNCTION,VM V N,Java,springcore
void,lazily Refresh Cache,FUNCTION,VM V N,Java,northstar
boolean,lazily Start,ATTRIBUTE,VM V,Java,beanworks
void,lazy Load Image,FUNCTION,VM V N,Java,gridview
class,Lazy Proxy,CLASS,NM N,Java,springcore
uint32_t,learning Rate,DECLARATION,NM N,C++,neutron
class,Least Recently Used,CLASS,NM NM N,C++,corelib
long,length,DECLARATION,N,C++,sigma
Integer,level,PARAMETER,N,Java,gridview
uint32_t,level 0,DECLARATION,N D,C++,titan
string,lex Token,FUNCTION,V N,C++,corelib
class,Lexer,CLASS,N,C++,corelib
int,line Count,ATTRIBUTE,NM N,C++,corelib
Integer,line Number,DECLARATION,NM N,Java,gridview
class,Linked List,CLASS,NM N,Java,bytecraft
Collection,list All Migrations,FUNCTION,V DT NPL,Java,beanworks
int*,list Files,FUNCTION,V NPL,C,forge
Set,list Of Entries,PARAMETER,N P NPL,Java,beanworks
vector,list Of Tokens,DECLARATION,N P NPL,C++,corelib
Map,listen For Events,FUNCTION,V P NPL,Java,cloudkit
unsigned,listen On Local Port,FUNCTION,V P NM N,C,nexus
void,listen On Socket,FUNCTION,V P N,C,nexus
Set,listeners,DECLARATION,NPL,Java,springcore
bool,load Cached Modules,FUNCTION,V NM NPL,C++,helix
boolean,load Cached Resources,FUNCTION,V NM NPL,Java,springcore
void,load Config,FUNCTION,V N,C++,apex
std::string,load Config From Default Path,FUNCTION,V N P NM N,C++,apex
void,load Data From Cache,FUNCTION,V N P N,Java,bytecraft
string,load Default Config Path,FUNCTION,V NM NM N,C++,corelib
void,load External Resources,FUNCTION,V NM NPL,Java,springcore
const char*,load Image From Path,FUNCTION,V N P N,C,pixl
void,load Or Create,FUNCTION,V CJ V,Java,springcore
void,load Rapidly,FUNCTION,V VM,Java,springcore
void,load Resource Bundle,FUNCTION,V NM N,Java,springcore
void,load Resources,FUNCTION,V NPL,Java,springcore
List,loaded Modules,DECLARATION,NM NPL,C++,neutron
String,locale String,PARAMETER,NM N,Java,webstack
int,lock And Condition,DECLARATION,N CJ N,Java,vortex
void,lock And Flush,FUNCTION,V CJ V,C,ember
void,lock And Signal,FUNCTION,V CJ V,C,aurora
void,lock And Wait,FUNCTION,V CJ V,C++,vortex
int,lock Or Condition,ATTRIBUTE,N CJ N,C++,oxide
void,lock Or Wait,FUNCTION,V CJ V,C++,vortex
void,log In,FUNCTION,V P,Java,springcore
long,log Level,PARAMETER,NM N,Java,cloudkit
void,log Out,FUNCTION,V P,Java,springcore
class,Log Writer,CLASS,NM N,Java,dataforge
double,loss Value,DECLARATION,NM N,C++,neutron
uint32_t,lp Data,DECLARATION,PRE N,C,nexus
char*,lp Error Text,DECLARATION,PRE NM N,C,ember
char*,lpsz String,DECLARATION,PRE N,C,forge
int,m 11,ATTRIBUTE,N D,C++,sigma
uint32_t,m 22,ATTRIBUTE,N D,C++,sigma
long,m 33,ATTRIBUTE,N D,C++,sigma
int,m 44,ATTRIBUTE,N D,C++,sigma
int,m Buffer,ATTRIBUTE,PRE N,C++,neutron
List,m Children,ATTRIBUTE,PRE N,C++,helix
uint32_t,m Count,ATTRIBUTE,PRE N,C++,apex
int,m Current Frame,ATTRIBUTE,PRE NM N,C++,halcyon
uint32_t,m Current Index,PARAMETER,PRE NM N,C++,northstar
int,m Current Owner,PARAMETER,PRE NM N,C++,northstar
uint32_t,m Flags,ATTRIBUTE,PRE NPL,C++,oxide
int,m Handle,ATTRIBUTE,PRE N,C++,prism
long,m Member,DECLARATION,PRE N,C++,sigma
uint32_t,m Offset,ATTRIBUTE,PRE N,C++,vortex
size_t,m Parent,ATTRIBUTE,PRE N,C++,helix
bool,m Pending Queue,ATTRIBUTE,PRE NM N,C++,halcyon
int,m Pointer,ATTRIBUTE,PRE N,C++,quark
int,m Retry Count,DECLARATION,PRE NM N,C++,halcyon
uint32_t,m State,ATTRIBUTE,PRE N,C++,titan
double,m Value,ATTRIBUTE,PRE N,C++,sigma
String,map 2 json,FUNCTION,N P N,Java,beanworks
int*,map Address To Region,FUNCTION,V N P N,C,aeon
double,map Key To Value,FUNCTION,V N P N,Java,bytecraft
Set,map Of Strings,DECLARATION,N P N,Java,beanworks
Map,map Of Values,DECLARATION,N P N,Java,bytecraft
long,map To Index,FUNCTION,V P N,Java,bytecraft
size_t,map To Offset,FUNCTION,V P N,C,aeon
int*,mapped Regions,DECLARATION,NM NPL,C,aeon
int,margin Left,DECLARATION,NM N,Java,webstack
void,marshal And Send,FUNCTION,V CJ V,Java,netpulse
class,Matrix 3,CLASS,N D,C++,quark
class,Matrix 4,CLASS,N D,C++,sigma
boolean,max Active Connections,DECLARATION,NM NM NPL,Java,nodelink
int,max Allowed Concurrent Thread Count,DECLARATION,NM NM NM NM N,Java,vortex
size_t,max Allowed Heap Capacity,DECLARATION,NM NM NM N,C,aeon
Integer,max Allowed Retry Count,DECLARATION,NM NM NM N,Java,springcore
Collection,max Concurrent Workers,DECLARATION,NM NM NPL,Java,cloudkit
Set,max Connection Pool,ATTRIBUTE,NM NM N,Java,dataforge
long,max Depth,ATTRIBUTE,NM N,C++,sigma
size_t,max File Length,DECLARATION,NM NM N,C,forge
int,max Heap Capacity,DECLARATION,NM NM N,C,aeon
int,max Payload Size,ATTRIBUTE,NM NM N,C,volt
int,max Retry Count,DECLARATION,NM NM N,Java,springcore
long,max Retry Limit,PARAMETER,NM NM N,Java,nodelink
int,max Shard Count,PARAMETER,NM NM N,Java,beanworks
long,max Size,DECLARATION,NM N,Java,springcore
int,max Thread Count,DECLARATION,NM NM N,C++,vortex
int,max Width,ATTRIBUTE,NM N,C++,vortex
boolean,may Override,FUNCTION,V V,Java,springcore
bool,may Proceed,FUNCTION,V V,Java,webstack
class,MD 5,CLASS,N D,C,zeno
float,measure Latency,FUNCTION,V N,Java,netpulse
void,memoize Result,FUNCTION,V N,C++,quark
class,Memory Allocator,CLASS,NM N,C++,neutron
Collection,merge Results,FUNCTION,V NPL,Java,dataforge
class,Mesh Renderer,CLASS,NM N,C++,prism
class,Message Broker,CLASS,NM N,Java,netpulse
void,migrate Data To New Schema,FUNCTION,V N P NM N,Java,beanworks
