SPLIT_IDENTIFIER,WORD,NORMALIZED_POSITION,MAXPOSITION,CONTEXT_NUMBER,LANGUAGE,LAST_LETTER,NLTK_POS,VERB_SCORE,DET_SCORE,PREP_SCORE,ENGLISHV_SCORE,ENGLISHPRE_SCORE,POSITION_RATIO,ENGLISHN_SCORE,METHODV_SCORE,CONJ_SCORE,PREPOSITION,DETERMINER,CONTAINSDIGIT,CONTAINSCLOSEDSET,HTTP_POS
stubbing Lookup Listeners,lookup,1,3,1,1,112,3,0.1496261358261108,0.1242873147130012,0.0612028017640113,0.2303612828254699,0.1645123660564422,0.3333333333333333,0.2128849774599075,-0.0979180932044982,0.1242873147130012,0,0,False,False,"stubbing|NM,Lookup|NM,Listeners|NPL"
only Entry,entry,2,2,3,0,121,3,0.1754544079303741,0.1647000759840011,0.1642148792743683,0.0761961713433265,0.1050056517124176,0.5,0.1069291457533836,0.0456057414412498,0.1647000759840011,0,0,False,False,"only|NM,Entry|N"
state To Grammar Region Map,map,2,5,1,1,112,3,0.210561603307724,0.1280619204044342,0.1694879978895187,0.0515389032661914,0.0510189086198806,0.8,0.064692847430706,-0.0746730417013168,0.1280619204044342,0,0,False,False,"state|N,To|P,Grammar|NM,Region|NM,Map|N"
get Item Type Descriptor,get,0,4,4,0,116,10,0.5725187063217163,0.4349799156188965,0.3191798627376556,0.0436071753501892,0.0867886617779731,0.0,0.010661625303328,-0.2550778687000274,0.4349799156188965,0,0,False,False,"get|V,Item|NM,Type|NM,Descriptor|N"
change set for tables,change,0,4,1,2,101,3,0.4192885458469391,0.2500248253345489,0.2022327333688736,0.0952409654855728,0.0830989927053451,0.0,0.0682667791843414,0.0973597541451454,0.2500248253345489,0,0,False,False,"change|N,set|NM,for|P,tables|NPL"
with Cms Leg Rule,with,0,4,4,1,104,6,0.2587098479270935,0.3924344778060913,0.515742838382721,0.0287790931761264,0.0832060873508453,0.0,0.0204832032322883,0.011863162741065,0.3924344778060913,1,0,False,False,"with|P,Cms|NM,Leg|NM,Rule|N"
gimp image file get thumbnail,thumbnail,2,5,4,0,108,3,0.1537752151489257,0.1215366944670677,0.1061488837003707,0.1721578538417816,0.209032267332077,0.8,0.1807909160852432,0.1477758288383484,0.1215366944670677,0,0,False,False,"gimp|V,image|NM,file|NM,get|NM,thumbnail|N"
c partition 2,2,2,3,3,2,50,2,0.1063688024878501,0.117492489516735,0.2279904335737228,0.0115420743823051,0.3298133611679077,0.6666666666666666,-0.0142195243388414,0.0,0.117492489516735,0,0,True,False,"c|NM,partition|NM,2|D"
scene Node Type Name,node,1,4,5,1,101,3,0.0928815305233001,0.0848425552248954,0.1309961229562759,0.1393149197101593,0.1942645460367202,0.25,0.1134796068072319,0.0498703494668006,0.0848425552248954,0,0,False,False,"scene|NM,Node|NM,Type|NM,Name|N"
m sbox 4,m,0,3,1,0,109,3,0.1143899485468864,0.0754066482186317,0.117298424243927,0.1478965580463409,0.5780587792396545,0.0,0.1687702536582946,-0.1699012070894241,0.0754066482186317,0,0,True,False,"m|PRE,s|NM,box|NM,4|D"
read Operation,read,0,2,5,1,100,3,0.3588268458843231,0.2002473920583725,0.1367020905017852,0.1914493590593338,0.1795713007450103,0.0,0.1501982361078262,-0.192767322063446,0.2002473920583725,0,0,False,False,"read|NM,Operation|N"
Rule Property Ref start,start,2,4,2,0,116,3,0.381205141544342,0.2679513096809387,0.311395525932312,0.0706697776913642,0.0506725534796714,0.75,0.0312868095934391,-0.1508699357509613,0.2679513096809387,0,0,False,False,"Rule|NM,Property|NM,Ref|NM,start|N"
state To Grammar Region Map,to,1,5,1,1,111,9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0361546128988266,0.0,1,0,False,False,"state|N,To|P,Grammar|NM,Region|NM,Map|N"
a pos,a,0,2,5,1,97,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125691071152687,0.0,0,1,False,False,"a|PRE,pos|N"
Struct Ty,ty,2,2,1,0,121,3,0.0550738796591758,0.0329229459166526,0.0634788423776626,0.3009273409843445,0.5699767470359802,0.5,0.2912190854549408,0.3143384158611297,0.0329229459166526,0,0,False,False,"Struct|NM,Ty|N"
inbound,inbound,0,1,5,0,100,3,0.1378784030675888,0.0839404910802841,0.1684390604496002,0.0037225009873509,0.0653040558099746,0.0,-0.0330090373754501,0.0,0.0839404910802841,0,0,False,False,inbound|N
get next comment id,comment,1,4,4,2,116,3,0.2895952761173248,0.1468028128147125,0.0736122876405716,0.064543604850769,0.0094998301938176,0.5,0.0227774381637573,0.1497568488121032,0.1468028128147125,0,0,False,False,"get|V,next|NM,comment|NM,id|N"
has after destruct,after,1,3,1,2,114,6,0.1931329667568206,0.4273825585842132,0.5454723238945007,-0.0083107138052582,0.0095862345770001,0.3333333333333333,-0.032640766352415,-0.0210883617401123,0.4273825585842132,1,0,False,False,"has|V,after|P,destruct|N"
after Processing,after,0,2,1,0,114,6,0.1931329667568206,0.4273825585842132,0.5454723238945007,-0.0083107138052582,0.0095862345770001,0.0,-0.032640766352415,-0.0210883617401123,0.4273825585842132,1,0,False,False,"after|P,Processing|N"
from Docker Config,docker,1,3,1,0,114,3,0.1055026799440383,0.0755859762430191,0.0786516666412353,0.1957606822252273,0.1633907854557037,0.3333333333333333,0.1969320327043533,0.3461558818817138,0.0755859762430191,0,0,False,False,"from|P,Docker|NM,Config|N"
last Pending Task Cache,task,1,4,1,0,107,3,0.2312098443508148,0.1827821582555771,0.103443905711174,0.0524678900837898,-0.1010659486055374,0.5,0.027273841202259,0.1407081037759781,0.1827821582555771,0,0,False,False,"last|NM,Pending|NM,Task|NM,Cache|N"
on Ingress Error,ingress,1,3,4,1,115,3,0.1926158219575882,0.0914706438779831,0.1127319037914276,0.0641111060976982,0.2159524261951446,0.3333333333333333,0.1151736453175544,0.0,0.0914706438779831,0,0,False,False,"on|P,Ingress|NM,Error|N"
is canon,is,0,2,4,0,115,12,0.2367606312036514,0.2782218158245086,0.250957190990448,0.0986509397625923,0.0834472924470901,0.0,0.1510205417871475,0.0595334731042385,0.2782218158245086,0,0,False,False,"is|V,canon|N"
target 1,1,2,2,1,2,49,2,0.1091085225343704,0.119271732866764,0.2104614078998565,0.0366875939071178,0.2996620237827301,0.5,0.0205252431333065,0.0,0.119271732866764,0,0,True,False,"target|NM,1|D"
to Schema,to,0,2,4,0,111,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0361546128988266,0.0,1,0,False,False,"to|P,Schema|N"
Time Signal Command,signal,1,3,2,0,108,3,0.2798734009265899,0.2058915793895721,0.1759121567010879,0.0902383998036384,0.0651919096708297,0.3333333333333333,0.083195187151432,0.1677825450897216,0.2058915793895721,0,0,False,False,"Time|NM,Signal|NM,Command|N"
packet Sample Count,sample,1,3,5,0,101,3,0.2078809440135955,0.1149359121918678,0.129567876458168,0.0683125853538513,0.1773752868175506,0.3333333333333333,0.1293991059064865,-0.0573306940495967,0.1149359121918678,0,0,False,False,"packet|NM,Sample|NM,Count|N"
method index,index,2,2,3,1,120,3,0.1784178912639618,0.1322621554136276,0.2067766338586807,0.0815500617027282,0.1123469769954681,0.5,0.1372797042131424,-0.0878286063671112,0.1322621554136276,0,0,False,False,"method|NM,index|N"
this service escalation,this,0,3,5,2,115,8,0.3106686174869537,0.4151534736156463,0.3483555912971496,0.1283646821975708,0.0362740345299243,0.0,0.1411798447370529,0.2224004417657852,0.4151534736156463,0,1,False,False,"this|P,service|NM,escalation|N"
merge chunks by bucket size,merge,0,5,4,1,101,3,0.3529440462589264,0.0327746346592903,0.0822117328643798,0.0701281577348709,0.0344240181148052,0.0,0.0350202694535255,-0.1120147109031677,0.0327746346592903,0,0,False,False,"merge|V,chunks|NPL,by|P,bucket|NM,size|N"
this class,this,0,2,5,1,115,8,0.3106686174869537,0.4151534736156463,0.3483555912971496,0.1283646821975708,0.0362740345299243,0.0,0.1411798447370529,0.2224004417657852,0.4151534736156463,0,1,False,False,"this|P,class|N"
entry out,out,2,2,5,2,116,6,0.2923476099967956,0.4140246510505676,0.5889096260070801,0.0478702075779438,0.115865521132946,0.5,0.0579157657921314,0.0431004576385021,0.4140246510505676,1,0,False,True,"entry|NM,out|N"
xdf 2,xdf,0,2,5,2,102,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,False,"xdf|NM,2|D"
actual Suffix,actual,0,2,3,0,108,0,0.2912303209304809,0.3966879844665527,0.3032547533512115,0.1501472145318985,0.1643537729978561,0.0,0.2018932402133941,0.2364728450775146,0.3966879844665527,0,0,False,False,"actual|NM,Suffix|N"
max width,width,2,2,1,2,104,3,0.160148486495018,0.1182068660855293,0.1719054281711578,0.1007966697216034,0.2502753436565399,0.5,0.1227894872426986,0.0427040383219718,0.1182068660855293,0,0,False,False,"max|NM,width|N"
generated Token On Creation,generated,0,4,3,0,100,7,0.202505886554718,0.1299005895853042,0.244748443365097,0.0137357795611023,0.0488595552742481,0.0,0.0864300206303596,0.2758965790271759,0.1299005895853042,0,0,False,False,"generated|NM,Token|NM,On|P,Creation|N"
words to add,add,2,3,5,2,100,10,0.5016654133796692,0.1887353062629699,0.2779109477996826,0.0491209104657173,0.1125898286700248,0.6666666666666666,0.062372863292694,-0.1343463957309723,0.1887353062629699,0,0,False,False,"words|NPL,to|P,add|N"
ico load layer,layer,2,3,4,1,114,3,0.1731525361537933,0.0828664898872375,0.1160875111818313,0.1119329184293747,0.1256511807441711,0.6666666666666666,0.1841210424900055,0.2001387625932693,0.0828664898872375,0,0,False,False,"ico|NM,load|NM,layer|N"
now time,now,0,2,3,1,119,5,0.3085125386714935,0.5563679337501526,0.422256201505661,0.0928568840026855,0.0607772655785083,0.0,0.0388436652719974,-0.017997607588768,0.5563679337501526,0,0,False,False,"now|NM,time|N"
ARGB Subtract Row C,subtract,1,4,4,1,116,3,0.3603016436100006,0.2064064741134643,0.2053142786026001,0.238210916519165,0.1917665004730224,0.25,0.2647268176078796,0.0477917939424514,0.2064064741134643,0,0,False,False,"A|DT,RGB|NM,Subtract|NM,Row|NM,C|N"
udpif,udpif,0,1,1,2,102,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,"udp|NM,if|CJ"
all Service Response,response,2,3,5,0,101,3,0.2159412056207656,0.1755801439285278,0.1795504838228225,0.0388268567621707,0.0343659594655036,0.6666666666666666,0.023160308599472,0.1248528882861137,0.1755801439285278,0,0,False,False,"all|DT,Service|NM,Response|N"
l place schematic on vmanip,vmanip,2,5,4,1,112,3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0,False,False,"l|NM,place|NM,schematic|NM,on|P,vmanip|N"
as Transform Generator Transform,transform,2,4,4,0,109,3,0.4457586407661438,0.0908234044909477,0.1252738833427429,0.0496721416711807,0.0171510279178619,0.75,0.0890468209981918,-0.1153491884469986,0.0908234044909477,0,0,False,False,"as|PRE,Transform|NM,Generator|NM,Transform|N"
fine priority,fine,0,2,5,2,101,3,0.2062682956457138,0.2558256685733795,0.2240911275148391,0.0954039022326469,0.1599118709564209,0.0,0.0587398447096347,0.2070510238409042,0.2558256685733795,0,0,False,False,"fine|NM,priority|N"
string conv base64 8 x 3 to 6 x 4,x,1,10,4,2,120,3,0.1114363521337509,0.10167096555233,0.1574040353298187,0.1194467321038246,0.593815803527832,0.8,0.2120887786149978,-0.0298360157757997,0.10167096555233,0,0,True,False,"string|NM,conv|NM,base64|NM,8|P,x|P,3|P,to|P,6|P,x|DT,4|D"
column Type Metadata v 4,column,0,5,3,0,110,3,0.092759221792221,0.0487764738500118,0.0839128866791725,0.15322145819664,0.0941983982920646,0.0,0.1614681184291839,0.096204861998558,0.0487764738500118,0,0,True,False,"column|NM,Type|NM,Metadata|NM,v|NM,4|D"
reset Meta Class Cache,meta,1,4,4,2,97,3,0.1180883795022964,0.1213881894946098,0.0737399458885192,0.3578328788280487,0.2712965607643127,0.25,0.350439965724945,0.058476984500885,0.1213881894946098,0,0,False,False,"reset|V,Meta|NM,Class|NM,Cache|N"
Fd Black Scholes Vanilla Engine,scholes,1,5,2,1,115,1,0.1082478314638137,0.1824804991483688,0.0818024352192878,0.2723496854305267,0.5153688788414001,0.4,0.2707708775997162,0.0,0.1824804991483688,0,0,False,False,"Fd|NM,Black|NM,Sc|NM,holes|NPL,Vanilla|NM,Engine|N"
e 3,3,2,2,5,0,51,2,0.1111004725098609,0.0947864577174186,0.2250662147998809,-0.003928274847567,0.2879056334495544,0.5,-0.0189954992383718,0.0,0.0947864577174186,0,0,True,False,"e|NM,3|D"
APPLICATION INFO 2,info,1,3,1,0,111,3,0.1999885886907577,0.1452829092741012,0.117555059492588,0.1391170471906662,0.3029520511627197,0.3333333333333333,0.0491815246641635,-0.0466887429356575,0.1452829092741012,0,0,True,False,"APPLICATION|NM,INFO|NM,2|D"
load from lib dir,dir,2,4,5,2,114,3,0.0468488633632659,-0.0229704566299915,0.0131842233240604,0.1840642392635345,0.4678188860416412,0.75,0.1391837149858474,0.05550392344594,-0.0229704566299915,0,0,False,False,"load|V,from|P,lib|NM,dir|N"
irc message split 005,005,2,4,4,2,53,2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0,0,True,False,"irc|NM,message|NM,split|N,005|D"
key Events Copy,key,0,3,3,1,121,3,0.1807164996862411,0.1995344460010528,0.239676758646965,-0.0098172118887305,0.0400885939598083,0.0,-0.0076765776611864,-0.0854190066456794,0.1995344460010528,0,0,False,False,"key|NM,Events|NPL,Copy|N"
igraph i get subisomorphisms vf 2 inner,2,1,7,4,2,50,2,0.1063688024878501,0.117492489516735,0.2279904335737228,0.0115420743823051,0.3298133611679077,0.7142857142857143,-0.0142195243388414,0.0,0.117492489516735,0,0,True,False,"i|NM,graph|NM,i|NM,get|NM,sub|NM,isomorphisms|NPL,vf|P,2|P,inner|N"
free Positions,positions,2,2,3,0,115,1,0.1474106758832931,0.152779996395111,0.1615053564310073,0.001721721724607,-0.0112220933660864,0.5,0.0034717884846031,0.2364122420549392,0.152779996395111,0,0,False,False,"free|NM,Positions|NPL"
s set find and delete,delete,2,5,4,2,101,3,0.3589677214622497,0.1967704892158508,0.1273877769708633,0.2329732924699783,0.1696390211582183,0.8,0.1669582426548004,-0.1776967197656631,0.1967704892158508,0,0,False,False,"s|NPL,set|NM,find|N,and|P,delete|NM"
set Extra Interfaces,set,0,3,4,0,116,3,0.2881191670894623,0.2594996988773346,0.2545293867588043,0.0118324710056185,0.0182479489594697,0.0,-0.0659626349806785,-0.1774049699306488,0.2594996988773346,0,0,False,False,"set|V,Extra|NM,Interfaces|NPL"
fts5 Seg Iter Clear,seg,1,4,4,2,103,3,0.073939561843872,0.0580436885356903,0.051039058715105,0.1762410104274749,0.3065128326416015,0.25,0.1412068903446197,0.3024903535842895,0.0580436885356903,0,0,False,False,"fts|NM,5|P,Seg|NM,Iter|NM,Clear|N"
clang Can Ty,clang,0,3,3,1,103,3,0.220051422715187,0.1277997493743896,0.1473642736673355,0.1713702976703643,0.1118691936135292,0.0,0.1524495184421539,0.0,0.1277997493743896,0,0,False,False,"clang|NM,Can|NM,Ty|N"
gimp canvas rectangle set property,set,1,5,4,0,116,3,0.2881191670894623,0.2594996988773346,0.2545293867588043,0.0118324710056185,0.0182479489594697,0.6,-0.0659626349806785,-0.1774049699306488,0.2594996988773346,0,0,False,False,"gimp|V,canvas|NM,rectangle|NM,set|NM,property|N"
previous Is Valid,valid,2,3,5,1,100,0,0.2223024368286132,0.248478427529335,0.1829965412616729,0.062193501740694,0.1230717450380325,0.6666666666666666,0.078119195997715,0.0660807639360427,0.248478427529335,0,0,False,False,"previous|NM,Is|NM,Valid|N"
all Pools,all,0,2,5,0,108,8,0.3551322817802429,0.4919635355472564,0.4235346615314483,0.0588802136480808,0.1196774318814277,0.0,-0.0082694580778479,-0.0115211270749568,0.4919635355472564,0,1,False,False,"all|DT,Pools|NPL"
build Lexer Rule Actions,lexer,1,4,4,1,114,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.3519734740257263,0.0,0,0,False,False,"build|V,Lexer|NM,Rule|NM,Actions|NPL"
other Data Len Bits,data,1,4,1,1,97,1,0.126046746969223,0.0887855365872383,0.0893825367093086,0.0250028949230909,0.0878322944045066,0.25,0.0079581020399928,0.0304912701249122,0.0887855365872383,0,0,False,False,"other|NM,Data|NM,Len|NM,Bits|NPL"
maximize All,maximize,0,2,4,1,101,10,0.3950270116329193,0.1014652922749519,0.1861113011837005,-0.0227534919977188,0.0534776672720909,0.0,-0.0054153930395841,0.0322501249611377,0.1014652922749519,0,0,False,False,"maximize|V,All|DT"
Generate Prolog 1,generate,0,3,4,1,101,3,0.461346685886383,0.149424210190773,0.2105282396078109,0.0054840319789946,0.0620346404612064,0.0,0.0713033899664878,-0.1840322315692901,0.149424210190773,0,0,True,False,"Generate|V,Prolog|N,1|D"
default S3 Bucket,s3,1,3,1,0,51,3,0.0325792022049427,0.0799461752176284,0.0835796296596527,0.2074114233255386,0.4683624804019928,0.3333333333333333,0.2325098067522049,0.0,0.0799461752176284,0,0,False,False,"default|NM,S|NM,3|D,Bucket|N"
in Eclipse Compiler,eclipse,1,3,1,0,101,3,0.3082728385925293,0.1950794160366058,0.2471203953027725,0.0329900905489921,0.0722081288695335,0.3333333333333333,-0.0090172430500388,0.0,0.1950794160366058,0,0,False,False,"in|P,Eclipse|NM,Compiler|N"
Controller Value,value,2,2,2,1,101,3,0.1957846879959106,0.215279996395111,0.1510524600744247,0.0981248244643211,0.1078557223081588,0.5,0.1078638881444931,-0.0764138400554657,0.215279996395111,0,0,False,False,"Controller|NM,Value|N"
only Done,only,0,2,1,0,121,5,0.3390322029590606,0.6436471343040466,0.4906939566135406,0.1105371937155723,0.0581016577780246,0.0,0.1399189978837967,0.1895174980163574,0.6436471343040466,0,0,False,False,"only|NM,Done|N"
Murmur3 128 Hash Function,function,2,4,2,0,110,3,0.2569934427738189,0.1660007685422897,0.0760361179709434,0.1214977800846099,0.1396646946668625,0.75,0.2265001684427261,-0.0429766252636909,0.1660007685422897,0,0,True,False,"Murmur|NM,3|D,128|D,Hash|NM,Function|N"
null Passed To Verify No More Interactions,to,1,7,4,2,111,9,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0361546128988266,0.0,1,0,False,False,"null|NM,Passed|N,To|P,Verify|N,No|DT,More|NM,Interactions|NPL"
inertial Frame,frame,2,2,3,3,101,3,0.2189608216285705,0.2061271220445633,0.2019401043653488,0.088606409728527,0.1243038848042488,0.5,0.1125281006097793,0.1782800853252411,0.2061271220445633,0,0,False,False,"inertial|NM,Frame|N"
lines per option,lines,0,3,3,2,115,1,0.1567844897508621,0.1681001484394073,0.1844870597124099,0.1172271445393562,0.0785529315471649,0.0,0.1170708388090133,0.175188273191452,0.1681001484394073,0,0,False,False,"lines|NPL,per|P,option|N"
that Expr,expr,2,2,5,0,114,3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.118274837732315,0.0,0,0,False,False,"that|NM,Expr|N"
fence,fence,0,1,4,1,101,3,0.1451245248317718,0.1095293909311294,0.1626964062452316,0.0170889124274253,0.0450306795537471,0.0,0.0641220360994339,0.0,0.1095293909311294,0,0,False,False,fence|N
some Columns Indexed,some,0,3,4,0,101,8,0.3670180141925812,0.4350351095199585,0.3743841648101806,0.0438825711607933,0.0292000398039817,0.0,-0.0065267034806311,0.1835414916276931,0.4350351095199585,0,1,False,False,"some|DT,Columns|NPL,Indexed|NM"
this Key,key,2,2,3,1,121,3,0.1807164996862411,0.1995344460010528,0.239676758646965,-0.0098172118887305,0.0400885939598083,0.5,-0.0076765776611864,-0.0854190066456794,0.1995344460010528,0,0,False,False,"this|P,Key|N"
mapped labels,labels,2,2,3,1,115,1,0.143293023109436,0.1216303706169128,0.0725219324231147,0.1213248744606971,0.0985352918505668,0.5,0.1393593400716781,0.1019573211669921,0.1216303706169128,0,0,False,False,"mapped|NM,labels|NPL"
stash update index from diff,stash,0,5,4,2,104,3,0.2485155612230301,0.1508341133594513,0.1182723119854927,0.0297372359782457,0.0939696580171585,0.0,0.0121738202869892,0.2938723862171173,0.1508341133594513,0,0,False,False,"stash|V,update|NM,index|N,from|P,diff|N"
is Generic Type Disambiguating Token,token,2,5,4,0,110,3,0.1945672780275344,0.2201308459043502,0.1351327300071716,0.0811939910054206,0.0521700754761695,0.8,0.1491104066371917,0.0076136216521263,0.2201308459043502,0,0,False,False,"is|V,Generic|NM,Type|NM,Disambiguating|NM,Token|N"
z 2 X mag,mag,2,4,3,1,103,3,0.0842397138476371,0.05986138433218,0.0215258076786994,0.1712926477193832,0.2885351181030273,0.75,0.2100029438734054,0.1835008859634399,0.05986138433218,0,0,True,False,"z|NM,2|D,X|NM,mag|N"
on Transport Ready Common,transport,1,4,4,1,116,3,0.2291391193866729,0.1129212155938148,0.151892140507698,0.0255723502486944,0.0941603779792785,0.25,0.0031916173174977,0.1882963329553604,0.1129212155938148,0,0,False,False,"on|P,Transport|NM,Ready|DT,Common|N"
Cbor X Content,content,2,3,2,0,116,3,0.2023613005876541,0.204946681857109,0.1374000012874603,0.0906730368733406,0.0949622392654419,0.6666666666666666,0.0706755593419075,0.0032877121120691,0.204946681857109,0,0,False,False,"Cbor|NM,X|NM,Content|N"
look and feel,feel,2,3,1,0,108,3,0.4310274422168731,0.337246835231781,0.193929061293602,0.0899492427706718,0.066566064953804,0.6666666666666666,0.0944725051522255,0.0,0.337246835231781,0,0,False,False,"look|NM,and|CJ,feel|N"
C Vector 3,vector,1,3,2,1,114,3,0.1150173023343086,0.0576589331030845,0.0599341578781604,0.1735582053661346,0.1693154871463775,0.3333333333333333,0.1508320271968841,0.0543760433793067,0.0576589331030845,0,0,True,False,"C|NM,Vector|NM,3|D"
p5 Err msg,msg,2,3,5,2,103,3,0.1264853477478027,0.1292026042938232,0.0362676829099655,0.2903985381126404,0.4846238493919372,0.6666666666666666,0.2491146177053451,0.141392633318901,0.1292026042938232,0,0,False,False,"p|NM,5|D,Err|NM,msg|N"
spell speller add dicts to hash,spell,0,6,4,2,108,3,0.3054229319095611,0.2129693478345871,0.1496004313230514,0.174359381198883,0.1334861367940902,0.0,0.208312377333641,0.3527099788188934,0.2129693478345871,0,0,False,False,"spell|V,speller|NM,add|NM,dicts|NPL,to|P,hash|N"
D Bus Proxy,bus,1,3,2,1,115,3,0.1426102817058563,0.1428295075893402,0.1615210473537445,0.0478107221424579,0.0285169593989849,0.3333333333333333,0.0083914957940578,0.0,0.1428295075893402,0,0,False,False,"D|NM,Bus|NM,Proxy|N"
next Field,field,2,2,1,0,100,3,0.1892496794462204,0.1537253856658935,0.2392455488443374,-0.0318027287721633,-0.0019562675151973,0.5,-0.0053257993422448,0.0218671597540378,0.1537253856658935,0,0,False,False,"next|NM,Field|N"
auth Result,result,2,2,5,0,116,3,0.2927756607532501,0.3092486560344696,0.3373126983642578,0.098375454545021,0.0425245985388755,0.5,0.1227106600999832,-0.0780809745192527,0.3092486560344696,0,0,False,False,"auth|NM,Result|N"
original Mocking Details,mocking,1,3,1,0,103,4,0.2469145804643631,0.1552904099225998,0.2002640962600708,0.1426609754562378,0.0951395183801651,0.3333333333333333,0.1719659268856048,0.0,0.1552904099225998,0,0,False,False,"original|NM,Mocking|NM,Details|N"
repress Ref At Loc,ref,1,4,4,1,102,3,0.1360200494527816,0.1503834873437881,0.1057285815477371,0.147915244102478,0.2487470507621765,0.25,0.1558946222066879,0.0560329332947731,0.1503834873437881,0,0,False,False,"repress|V,Ref|N,At|P,Loc|N"
child Categories,categories,2,2,3,0,115,1,0.1320469081401825,0.1470276415348053,0.1515882760286331,0.1294073760509491,0.0810735896229744,0.5,0.1982623934745788,0.2753781974315643,0.1470276415348053,0,0,False,False,"child|NM,Categories|NPL"
to Merge,merge,2,2,5,0,101,3,0.3529440462589264,0.0327746346592903,0.0822117328643798,0.0701281577348709,0.0344240181148052,0.5,0.0350202694535255,-0.1120147109031677,0.0327746346592903,0,0,False,False,"to|P,Merge|N"
xdf 2,2,2,2,5,2,50,2,0.1063688024878501,0.117492489516735,0.2279904335737228,0.0115420743823051,0.3298133611679077,0.5,-0.0142195243388414,0.0,0.117492489516735,0,0,True,False,"xdf|NM,2|D"
buf Num,buf,0,2,5,1,102,3,0.1490364968776703,0.1011803373694419,0.0551678799092769,0.3604448139667511,0.7198049426078796,0.0,0.3792747259140014,0.2483998239040374,0.1011803373694419,0,0,False,False,"buf|NM,Num|N"
tbl index,index,2,2,5,1,120,3,0.1784178912639618,0.1322621554136276,0.2067766338586807,0.0815500617027282,0.1123469769954681,0.5,0.1372797042131424,-0.0878286063671112,0.1322621554136276,0,0,False,False,"tbl|NM,index|N"
DL4J Invalid Input Exception,exception,2,4,2,0,110,3,0.1970513612031936,0.2495998293161392,0.243001788854599,0.0691963359713554,0.0577872246503829,0.75,0.1131159961223602,0.1245534196496009,0.2495998293161392,0,0,False,False,"DL|NM,4|D,J|NM,Invalid|NM,Input|NM,Exception|N"
index To Loc Format,to,1,4,1,1,111,9,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0361546128988266,0.0,1,0,False,False,"index|N,To|P,Loc|NM,Format|N"
last Document,last,0,2,1,0,116,0,0.2088235765695572,0.3696759343147278,0.4133140444755554,-0.0072740470059216,-0.017220439389348,0.0,-0.004559498745948,-0.0588632859289646,0.3696759343147278,0,1,False,False,"last|NM,Document|N"
add no exist,add,0,3,5,1,100,10,0.5016654133796692,0.1887353062629699,0.2779109477996826,0.0491209104657173,0.1125898286700248,0.0,0.062372863292694,-0.1343463957309723,0.1887353062629699,0,0,False,False,"add|NM,no|V,exist|V"
last Write,write,2,2,5,0,101,3,0.4281230568885803,0.2150327414274215,0.0950979441404342,0.1592673808336258,0.1324425041675567,0.5,0.1322298347949981,-0.1835553050041198,0.2150327414274215,0,0,False,False,"last|V,Write|V"
method index,method,0,2,3,1,100,3,0.1511395871639251,0.1736310869455337,0.1051775217056274,0.2820143699645996,0.1072352081537246,0.0,0.2751670777797699,-0.1914073675870895,0.1736310869455337,0,0,False,False,"method|NM,index|N"
v 0 layer connection,layer,1,4,5,1,114,3,0.1731525361537933,0.0828664898872375,0.1160875111818313,0.1119329184293747,0.1256511807441711,0.5,0.1841210424900055,0.2001387625932693,0.0828664898872375,0,0,True,False,"v|NM,0|D,layer|NM,connection|N"
Rest Client,client,2,2,2,1,116,3,0.1094782948493957,0.1240310817956924,0.0658468827605247,0.0751150846481323,0.0686420351266861,0.5,0.0462381094694137,0.2538767158985138,0.1240310817956924,0,0,False,False,"Rest|NM,Client|N"
visit SIL Argument,argument,2,3,4,2,116,3,0.2262941896915435,0.2140569537878036,0.1122587919235229,0.1698505580425262,0.0176056306809186,0.6666666666666666,0.113969586789608,0.1110037192702293,0.2140569537878036,0,0,False,False,"visit|V,SIL|NM,Argument|N"
Piecewise Constant Abcd Variance,constant,1,4,2,1,116,0,0.1611515134572982,0.1985726505517959,0.2347394675016403,0.117043636739254,0.0991635471582412,0.25,0.0537221133708953,0.011623665690422,0.1985726505517959,0,0,False,False,"Piecewise|NM,Constant|NM,Abcd|NM,Variance|N"
get Phrase 1,phrase,1,3,4,2,101,3,0.1839252412319183,0.2166853994131088,0.0938267931342125,0.6128271222114563,0.2006238996982574,0.3333333333333333,0.5740261077880859,0.3553531765937805,0.2166853994131088,0,0,True,False,"get|V,Phrase|N,1|D"
after release,after,0,2,1,2,114,6,0.1931329667568206,0.4273825585842132,0.5454723238945007,-0.0083107138052582,0.0095862345770001,0.0,-0.032640766352415,-0.0210883617401123,0.4273825585842132,1,0,False,False,"after|P,release|N"
