WORD,TAG,POS_SEQUENCE
next,DT,next:DT date:NM range:N
base,N,vmax:NM over:P base:N
text,NM,read:V element:NM text:NM span:N
num,N,num:N axis:NM events:NPL
cms,NM,cms:NM pricer:N
spx,PRE,spx:PRE nt:NM prod:N 1:D
unrestricted,N,unrestricted:N
place,V,place:V all:DT
show,NM,show:NM tags:NPL
list,N,split:V argument:NM list:N
end,N,end:N of:P input:N
8,D,convert:V to:P 8:D bit:N
only,VM,only:VM pool:N
c,PRE,c:PRE outside:P
get,V,get:V start:NM r:VM 1:D
runtime,NM,runtime:NM mx:NM bean:N
reader,N,mpeg:NM audio:NM reader:N
install,NM,get:V default:NM install:NM state:N
validator,N,rule:NM member:NM validator:N
check,V,check:V arrival:N add:V next:DT nodes:NPL
rule,NM,rule:NM property:NM ref:NM ctx:N
built,NM,built:NM url:N
implicit,NM,with:P implicit:NM columns:NPL
projects,NPL,all:DT projects:NPL
all,DT,all:DT store:N
driver,NM,merge:V driver:NM name:N for:P path:N
send,N,after:P join:V send:N history:N
gl,PRE,gl:PRE m:N 3:D inv:N
name,NM,name:NM what:DT
seconds,NPL,max:NM age:NM seconds:NPL long:NM
received,N,bytes:NPL received:N
model,N,coterminal:NM model:N
to,P,to:P time:N
resource,N,for:P resource:N
remove,V,remove:V imported:NM parent:NM contexts:NPL
group,N,this:DT contact:NM group:N
request,NM,unregistered:NM request:NM matcher:N
tolerance,N,f:NM tolerance:N
x,P,string:N conv:V base64:N 6:D x:P 4:D to:P 8:D x:P 3:D
verify,V,null:N passed:V to:P verify:V no:DT more:DT interactions:NPL
next,DT,next:DT page:NM value:N
16,D,save:V as:P 16:D x:P 16:D
materials,NPL,write:V node:NM materials:NPL
dump,V,dump:V core:NM map:N to:P string:NM builder:N
vertex,NM,vertex:NM position:N
base,NM,base:NM loader:NM callback:N
l,PRE,l:PRE b:N layer:N
writeables,NPL,named:NM writeables:NPL
k,NM,k:NM diy:NM significand:NM size:N
buffer,N,send:V to:P buffer:N
pattern,NM,refutable:NM pattern:NM initialization:N
eps,NPL,eps:NPL
class,N,wrapper:NM class:N
any,DT,matches:V any:DT parent:NM categories:NPL
other,NM,other:NM side:NM x:N
code,NM,utf8:PRE next:DT code:NM point:N
is,V,is:V first:NM frame:N
parts,NPL,num:N body:NM parts:NPL
param,NM,param:NM upgraded:V pad:N
aead,NM,aead:NM crypter:NM seal:N
buffers,NPL,buffers:NPL
post,NM,tree:NM post:NM script:NM generator:N
a,DT,a:DT 3:D
number,N,invalid:NM state:NM number:N
input,N,delete:V input:N
that,DT,that:DT config:N
1,D,lk:N 1:D
if,CJ,throw:V provision:NM exception:N if:CJ errors:NPL exist:V
indirect,NM,is:V indirect:NM result:N
unregistered,NM,unregistered:NM request:NM matcher:N
ok,V,nulls:NPL ok:V
minimized,NM,minimized:NM random:NM fa:N
is,V,is:V valid:NM escalation:NM for:P service:NM notification:N
is,V,is:V base32:N
24,D,chat:NM cobrowse:NM image:NM 24:D x:P 24:D
next,DT,revwalk:NM next:DT toposort:N
image,NM,c:PRE image:NM writer:N jpg:NM
check,V,check:V not:VM interface:N
configurator,N,glx:NM configurator:N
document,N,post:NM script:NM document:N
2,D,skip:V im:N 2:D col:N
target,N,target:N started:N
less,NM,less:NM terminal:NM path:N
machine,NM,pass:NM machine:NM instructions:NPL
off,P,off:P icon:N
limit,NM,limit:NM 0:D query:N
fts5,N,p:PRE fts5:N
2,P,rgbx:PRE 2:P bgrx:N
buffers,NPL,from:P byte:NM buffers:NPL
x,N,after:P x:N stanzas:NPL
mask,NM,line:NM index:NM mask:NM len:N
to,P,b:PRE float:N 16:D to:P double:N
runner,NM,runner:NM override:N
speech,NM,speech:NM in:N
max,NM,max:NM file:NM open:N
layer,NM,layer:NM field:NM pool:NM 1d:NM size:N
out,N,stream:V out:N
groups,NPL,num:NM groups:NPL
item,NM,on:P item:NM long:NM click:NM listener:N
session,NM,session:NM factory:N
k,NM,inv:NM flight:NM k:NM 2:D
update,NM,plugin:PRE if:CJ mainwindow:NM update:NM toolbars:NPL
layer,NM,v:N 0:D layer:NM connection:N
sil,NM,new:NM sil:NM type:N
events,NPL,num:N axis:NM events:NPL
name,N,m:PRE name:N to:P id:N
has,V,gui:PRE line:PRE has:V tag:NM no:DT filter:N
r,N,len:NM r:N
now,VM,time:N now:VM
4d,N,set:V data:N 4d:N
response,NM,completion:NM handler:N i:NM unary:NM response:NM client:NM callback:N
min,NM,min:NM fresh:N
source,NM,source:NM index:N
a,N,transpose:V a:N
2,D,ctx:NM 2:D
start,N,depot:NM message:NM start:N
period,N,period:N no:DT period:N
14,D,r:N 14:D
n,NM,n:NM 3:D
constant,NM,piecewise:PRE constant:NM abcd:NM variance:N
layer,N,deconvolution:N layer:N
event,N,each:DT seen:NM event:N
builder,N,gson:NM builder:N
last,DT,last:DT gradient:N
vol,NM,vol:NM stride:N 1:D
mov,NM,t:N 2:D mov:NM 16:D set:V immediate:N
2,D,ptr:N 2:D
hashable,NM,find:V hashable:NM base:NM type:N
listeners,NPL,stubbing:NM lookup:NM listeners:NPL
error,N,mockito:NM assertion:NM error:N
socks4,NM,for:P socks4:NM proxy:N
generic,NM,generic:NM type:NM extractor:N
file,NM,file:NM operator:N
buffers,NPL,max:NM draw:NM buffers:NPL
shininess,N,n:NM shininess:N
inertial,NM,inertial:NM frame:N
3,D,base:NM level:N 3:D
entry,NM,as:P sorted:NM entry:NM list:N
support,N,check:V gl:NM support:N
palette,NM,png:NM init:V palette:NM transformations:NPL
attribute,N,mono:NM p:NM invoke:NM callback:NM attribute:N
with,P,with:P system:N
m,PRE,m:PRE window:NM width:N
purge,N,last:DT data:NM purge:N
determine,V,determine:V strictness:N
set1,NM,x509:PRE set1:NM not:VM before:P
before,P,net:PRE before:P forward:N
clip,NM,clip:NM dist:NM bug:N
encapsulating,NM,encapsulating:NM security:N v6:N
temp,NM,temp:NM comp:NM mask:N
new,NM,new:NM param:N 1:D
check,V,check:V t:N
index,N,or:NM filter:N at:P index:N
cache,N,add:V no:DT truncate:V cache:N
scope,N,global:NM scope:N
details,NPL,original:NM mocking:NM details:NPL
by,P,by:P
more,DT,more:DT core:NM properties:NPL
types,NPL,m:PRE text:NM types:NPL
push,NM,enable:V push:NM down:P
chopped,NM,text:N chopped:NM 2:D
convertible,NM,is:V convertible:NM to:P
file,N,status:NM file:N
chunk,NM,media:NM chunk:NM index:N
listener,N,on:P item:NM long:NM click:NM listener:N
slash,NM,last:DT slash:NM index:N
requested,NM,requested:NM plugins:NPL
tessellate,PRE,tessellate:PRE to:P mesh:N
a,DT,a:DT void:N
request,NM,on:P request:NM response:N
started,N,verification:N started:N
no,DT,no:DT log:N
out,N,ancestor:NM out:N
from,P,next:DT page:N from:P queue:N
bitstream,N,read:NM bitstream:N
y,N,t:NM 1:D y:N
how,VM,how:VM
view,NM,action:NM view:NM show:NM master:NM pages:NPL
actual,NM,actual:NM suffix:N
fts5,PRE,fts5:PRE multiiter:NM do:V compare:V
all,DT,gui:PRE buffer:PRE local:NM var:NM remove:V all:DT
modal,N,gpencil:NM primitive:NM modal:N
flags,NM,flags:NM classifier:NM pair:N
deconvolution,NM,keras:PRE deconvolution:NM 2d:NM
queue,N,next:DT page:N from:P queue:N
sequence,N,append:V sequence:N
phrase,NM,get:V phrase:NM 1:D
find,V,node:N find:V output:N by:P name:N
n,N,abs:NPL deadline:NM n:N sec:NM value:N
next,DT,next:DT metadata:N
generate,V,generate:V service:NM descriptor:NM property:N
where,NM,where:NM clause:N
dampen,V,set:V dampen:V on:P bodies:NPL
names,NPL,add:V unicode:PRE script:NM codes:NPL to:P names:NPL
batch,NM,ccv:PRE cnnp:PRE batch:NM norm:N add:V to:P output:N
expr,N,this:DT expr:N
size,N,max:NM input:NM size:N
to,P,to:P write:V
list,N,context:NM url:N list:N
chunk,NM,media:NM chunk:NM iterator:N
android,N,is:V android:N
work,NM,git:PRE repository:PRE head:N detached:V for:P work:NM tree:N
byte,N,sqlite3:PRE put:V 4:D byte:N
irc,PRE,irc:PRE message:N split:V 005:D
sky,NM,m:PRE sky:NM plane:NM render:NM queue:N
id,N,last:DT coordination:NM id:N
private,NM,ko:PRE path:NM point:NM remove:NM command:N private:NM
dshow,N,video:NM capture:NM dshow:N
tox,NM,tox:NM self:PRE set:V no:DT spam:N
invalid,N,invalid:N
parameter,NM,parameter:NM signature:N
is,V,is:V convertible:NM to:P
overlap,N,overlap:N
rank,NM,rank:NM 0:D
until,P,wait:V until:P
all,DT,all:DT open:NM indices:NPL
abs,NPL,abs:NPL deadline:NM n:N sec:NM value:N
save,V,save:V output:N
host,N,cb:NM service:N in:P host:N group:NM each:DT host:N
group,NM,cb:NM service:N in:P host:N group:NM each:DT host:N
flip,NM,b:PRE flip:NM horizontally:VM
execution,N,abstract:NM build:NM execution:N
dot3,PRE,dot3:PRE ad:PRE agg:NM port:PRE attached:NM agg:PRE id:N
data,NPL,accelerometer:NM data:NPL
lib,N,st:NM lib:N
for,P,is:V valid:NM escalation:NM for:P service:NM notification:N
fn,N,do:V all:DT sorted:V fn:N
mouse,NM,update:V mouse:NM pos:N
native,NM,path:N with:P native:NM separators:NPL
down,P,supports:V join:V push:V down:P
geometry,NM,sqlite3:PRE rtree:NM geometry:NM callback:N
index,N,out:NM name:NM index:N
warn,V,warn:V if:CJ error:N
line,NM,gui:PRE line:NM mixed:NM free:V all:DT
bytes,NPL,bytes:NPL out:N
base64,N,string:N conv:V base64:N 8:D x:P 3:D to:P 6:D x:P 4:D
udpif,N,udpif:N
change,V,change:V set:N for:P tables:NPL
2,D,new:NM param:N 2:D
nd,NM,force:V nd:NM im:N 2:P col:N
header,N,record:NM header:N
type,NM,type:NM window:NM update:N
segment,N,num:NM vec:NM per:P segment:N
no,DT,null:N passed:V to:P verify:V no:DT more:DT interactions:NPL
pass,NM,pass:NM through:P
reapply,V,reapply:V filter:N
write,V,write:V tcp:NM data:N
limit,NM,is:V supports:V limit:NM push:V down:P
last,DT,last:DT idx:N
hatch,N,brush:NM hatch:N
property,N,generate:V service:NM descriptor:NM property:N
errors,NPL,all:DT errors:NPL
next,DT,next:DT update:NM time:N
per,P,y:D pixels:NPL per:P unit:N
module,N,is:V stdlib:NM module:N
access,NM,data:NM access:NM repository:NM private:NM
msg,N,p5:NM err:NM msg:N
m,PRE,m:PRE redirected:V cout:N
binary,NM,binary:NM search:NM bytes:NPL
eq,NM,in:P eq:NM more:DT than:P once:VM
changed,NM,m:PRE last:DT changed:NM location:N
more,DT,null:N passed:V to:P verify:V no:DT more:DT interactions:NPL
stochastic,NM,stochastic:NM process:N
empty,NM,both:DT empty:NM selection:N
html,NM,make:V html:NM table:N
dual,NM,dual:NM con:NM input:NM reader:N
2,D,p:PRE 2:D d:N
certificates,NPL,client:NM certificates:NPL
kinects,NPL,kinects:NPL copy:N
events,NPL,extract:V events:NPL
tables,NPL,m:PRE all:DT tables:NPL selectable:NM
hash,NM,hash:NM 32:D functions:NPL
canceled,V,gimp:PRE status:NM bar:NM progress:NM canceled:V
as,P,as:P diamond:N
shader,PRE,shader:PRE data:NPL to:P shader:PRE globals:NPL
nxt,N,ip6:PRE h:N nxt:N
creation,N,generated:NM token:NM on:P creation:N
2,P,rgb:NM 2:P rgb565:N
v,NM,column:NM type:NM metadata:NM v:NM 4:D
to,P,action:NM to:P index:NM map:N
2,D,get:V part:N 2:D
preprocessed,N,next:DT preprocessed:N
use,V,s3:NM use:V v2:NM signing:N
process,V,process:V helper:N
private,NM,code:NM generator:NM private:NM
history,NM,save:V task:NM history:NM update:N
gpu,NM,m:PRE gpu:NM rays:NPL
indices,NPL,create:V in:P indices:NPL
within,P,within:P vertically:VM
repository,PRE,git:PRE repository:PRE head:N detached:V for:P work:NM tree:N
float,NM,float:NM day:NM counter:N
property,N,prev:DT property:N
i,N,z:NM p:NM i:N
type,NM,address:N type:NM ipv4:N
link,N,s3fs:PRE read:NM link:N
service,N,singularity:PRE s3:PRE service:N
once,DT,once:DT
entry,NM,last:DT entry:NM batch:N
2,D,handle:V send:N 2:D
size,N,size:N guess:N
key,N,next:DT key:N
service,N,add:V custom:NM variable:N to:P service:N
out,NM,out:NM header:NM data:N
binary,N,of:P to:P binary:N
cb,N,video:NM chunk:NM cb:N
oper,N,s3fs:NM oper:N
with,P,register:V with:P volatility:NM spread:N
closure,N,is:V valid:NM trailing:NM closure:N
result,N,cb:NM result:N
field,N,field:N 37:D
next,DT,next:DT pc:N
m,PRE,m:PRE sky:NM box:NM orientation:N
d,NM,d:NM bus:NM proxy:N
xpp3,PRE,xpp3:PRE xml:NM pull:NM parser:N
in,P,angle:NM in:P radian:N
envelope,N,aud:PRE sound:NM envelope:N
b,PRE,b:PRE force:V 16:D bpp:N
or,CJ,allow:V login:V or:CJ register:V
in,P,query:NM timeout:NM in:P ms:NPL
on,P,on:P reason:N
samples,NPL,out:NM audio:NM samples:NPL
1,D,ptr:N 1:D
1,D,hp:N 1:D
item,N,iax2:PRE analysis:NM tree:NM widget:NM item:N
send,V,get:V msg:NM send:V super:NM ty:N
v,N,upgrade:V v:N 1:D layer:NM parameter:N
reduced,NM,if:CJ reduced:NM expr:N
recursion,N,strip:V left:NM recursion:N
state,NM,state:NM next:DT
incoming,NM,incoming:NM has:V sv:N 2:D
gaps,NPL,nbr:NM gaps:NPL
name,NM,name:NM 1:D
is,V,is:V step:N up:VM
heat,NM,heat:NM vision:NM listener:N
first,NM,size:N on:P first:NM use:N
down,P,partition:NM filter:N push:V down:P
num,N,for:P num:N
time,N,last:DT time:N critical:NM
success,N,invert:V success:N
temperature,NM,temperature:NM cauchy:NM 1:D d:N
follower,NM,concrete:NM follower:NM indices:NPL
in,P,in:P for:N
exception,N,last:DT exception:N
p,PRE,p:PRE name:NM 2:D
ssl,NM,default:NM ssl:NM roots:NPL override:NM
x,P,mail:V forward:N 16:D x:P 16:D
as,P,as:P in:N
index,NM,glew:PRE index:NM mask:N
textures,NPL,find:V all:DT textures:NPL
network,NM,network:NM security:NM policy:N
lease,N,lease:N
shift,NM,shift:NM values:NPL
byte,NM,byte:NM count:N
mtx,N,mtx:N
grad,N,line:NM 1:D grad:N
vmanip,N,l:PRE place:V schematic:N on:P vmanip:N
from,P,time:N from:P last:DT punch:N
sum,N,is:V sum:N supported:V
norm,NM,l2:NM norm:NM transform:N
eclipse,NM,in:P eclipse:NM compiler:N
task,NM,last:DT task:NM status:N
1,D,odx:NM 1:D
freq,N,tick:NM freq:N
conv,V,string:N conv:V base64:N 8:D x:P 3:D to:P 6:D x:P 4:D
date,NM,last:DT activity:NM date:NM range:NM max:N
example,N,physics:NPL client:NM example:N
type,NM,extract:V raw:NM type:NM of:P
for,P,fprint:V all:DT protocols:NPL for:P layer:NM types:NPL
400,D,error:NM on:P 400:D
chain,N,rules:N of:P new:NM chain:N
this,DT,this:DT contact:NM group:N
oauth,NM,oauth:NM session:N
message,N,irc:PRE message:N split:V 005:D
weechat,PRE,weechat:PRE js:PRE unload:V all:DT
attrs,NPL,attrs:NPL
template,N,index:NM prefix:N with:P template:N
data,NPL,write:V data:NPL page:N v:NM 2:D
selection,NM,selection:NM width:NM label:N
paths,NM,paths:NM 2:D
parser,N,xpp3:PRE xml:NM pull:NM parser:N
buffer,PRE,gui:PRE buffer:PRE set:V time:N for:P each:DT line:N
s3fs,PRE,s3fs:PRE read:NM link:N
to,P,more:DT to:P follow:V
from,P,n:NM from:P
data,NM,bitmap:NM data:NM size:N
labels,NPL,labels:NPL file:N
run,V,has:V run:V at:VM least:VM once:VM
force,V,force:V nd:NM im:N 2:P col:N
host,N,xodtemplate:PRE expand:V host:N groups:NPL and:CJ hosts:NPL
mod,N,l:PRE set:V last:DT run:V mod:N
multiiter,NM,fts5:PRE multiiter:NM do:V compare:V
found,V,if:NM found:V
expr,N,if:CJ expr:N
part,N,clear:V part:N 1:D
pools,NPL,all:DT pools:NPL
cb,NM,cb:NM result:N
minor,N,before:P minor:N
tail,N,q:NM tail:N
logged,N,g:PRE curand:NM availability:N logged:N
first,NM,is:V first:NM capital:N
frame,N,is:V first:NM frame:N
text,N,no:DT text:N
next,DT,next:DT element:N
file,NM,file:NM item:NM delegate:N
task,N,next:DT task:N
inverse,NM,compare:V inverse:NM and:CJ forward:NM dynamics:NPL
indexed,V,some:DT columns:NPL indexed:V
destination,NM,destination:NM options:NPL v6:NM
class,N,the:DT class:N
resume,N,resume:N
exchange,N,new:NM exchange:N
entry,N,only:VM entry:N
timeout,N,s:NM o:NM timeout:N
speaker,N,speaker:N
down,P,down:P icon:N
entry,NM,entry:NM 1:D
d,N,p:PRE 2:D d:N
default,NM,default:NM flags:NPL
lvl,NM,lvl:NM currency:N
open,N,max:NM file:NM open:N
as,P,as:P transform:N generator:NM transform:N
get,V,get:V artificial:NM op:NM prec:NM rule:N
part,N,last:DT part:N
now,N,now:N
active,NM,future:NM active:NM doc:N
feel,N,look:NM and:CJ feel:N
terminal,NM,less:NM terminal:NM path:N
index,N,if:NM index:N
point,N,append:V python:NM style:N escaped:NM code:NM point:N
depth,NM,depth:NM stencil:N as:P texture:N
upsampling,NM,keras:PRE upsampling:NM 1d:NM
1,D,arg:N 1:D
last,DT,blob:NM name:N to:P last:DT top:NM idx:N
for,P,inverse:V compute:NM for:P word:N of:P all:DT 1s:D
silk,NM,silk:NM bw:NM expander:N 32:D
each,DT,gui:PRE buffer:PRE set:V time:N for:P each:DT line:N
type,NM,row:NM type:NM 1:D
print,NM,print:NM events:NPL
java11,NM,java11:NM web:NM socket:N
closure,N,generic:NM emissive:NM closure:N
trace,N,sqlite3:NM where:NM trace:N
m,PRE,m:PRE endpoint:NM a:N
action,N,set:NM prev:NM ctx:NM action:N
node,N,current:NM scene:NM node:N
paint,NM,paint:NM radio:N
field,N,as:P field:N
group,N,this:DT host:NM group:N
avg,NM,avg:NM 1:D
selection,N,both:DT empty:NM selection:N
0,D,cp:N 0:D
token,NM,token:NM data:N
2,D,row:N 2:D
vanilla,NM,vanilla:NM forward:NM payoff:N
caption,N,previous:NM caption:N
data,NPL,camera:NM data:NPL
limit,N,row:NM limit:N
new,NM,new:NM shape:N 2:D
valid,N,previous:NM is:V valid:N
if,CJ,if:CJ table:N
label,NM,label:NM regex:N
activities,NPL,m:PRE count:NM activities:NPL
path,NM,echo:V path:NM change:N
institution,N,institution:N
shadow,NM,m:PRE shadow:NM receiver:NM pass:N
curve,N,add:V bezier:NM curve:N
for,P,for:P number:N
passed,N,m:PRE last:DT assertion:NM passed:N
result,NM,result:NM 2:D
parse,NM,tsurgeon:NM parse:NM exception:N
neighbor,N,resize:V nearest:NM neighbor:N
param,N,old:NM param:N 2:D
net,PRE,net:PRE after:P forward:N
front,NM,value:NM a:N and:CJ front:NM reserved:V
size,N,size:N on:P first:NM use:N
p,PRE,p:PRE save:V
v2,NM,s3:NM use:V v2:NM signing:N
draw,N,num:NM faces:NM to:P draw:N
no,N,step:N no:N
get,V,get:V top:NM border:NM size:N
change,N,a:DT change:N
set,V,set:V iam:NM v2:NM api:NM token:N
tris,N,num:NM active:NM tris:N
wrap,V,wrap:V if:CJ not:VM thread:NM safe:N
message,NM,depot:NM message:NM start:N
get,V,igraph:PRE i:PRE get:V subisomorphisms:NPL vf:N 2:D inner:N
str,NM,str:NM 2:P it:N
read,NM,read:NM bitstream:N
force,V,b:PRE force:V 16:D bpp:N
file,N,read:V s3fs:PRE passwd:NM file:N
bounding,NM,bounding:NM radius:N
micros,NPL,now:VM micros:NPL
all,DT,all:DT service:NM response:N
t,N,t:N 3:D
free,V,irc:PRE batch:PRE free:V all:DT
to,P,next:DT partition:N to:P return:N
from,P,from:P server:N
highlighter,N,highlighter:N
ty,N,get:V msg:NM send:V super:NM ty:N
cast,NM,optimize:V identity:NM cast:NM composition:N
log,NM,log:NM mixed:NM linear:NM cubic:NM interpolation:N
parse,V,parse:V attribute:NM def:N
handoff,NM,dof:PRE reg:V handoff:NM dpp:N 0:D
iter,N,forked:V iter:N
or,CJ,til:P or:CJ since:P
at,P,repress:V ref:N at:P loc:N
extend,V,extend:V by:P hexahedron:N
event,NM,event:NM 0:D
layer,N,cudnn:PRE deconvolution:NM layer:N
32,D,count:N 32:D
backprop,N,for:NM backprop:N
map,N,git:PRE off:NM map:N size:N
num,NM,num:NM active:NM tris:N
suspicious,NM,indexes:NPL of:P suspicious:NM args:NPL
running,NM,running:NM log:NM average:N
size,N,get:V top:NM border:NM size:N
widget,NM,widget:NM destroyed:V
on,P,on:P start:N
player,N,of:PRE android:NM sound:NM player:N
buf,N,out:NM buf:N
4,D,sbox:N 4:D
handlers,NPL,response:NM handlers:NPL
verification,NM,in:P order:N wrapped:NM verification:NM mode:N
w,N,ori:NM w:N
directory,N,empty:NM directory:N
on,P,on:P multipart:NM header:NM field:N
payoff,N,vanilla:NM forward:NM payoff:N
description,NM,description:NM 2:D
interval,NM,interval:NM substring:N 1:D
save,V,save:V before:P unloading:V
immediate,N,t:N 2:D mov:NM 16:D set:V immediate:N
post,NM,m:PRE post:NM fix:N
builder,NM,new:NM aggregate:NM builder:NM map:N
append,V,append:V sequence:N
index,N,set:V display:NM index:N
is,V,is:V a:DT empty:N
commit,N,get:V commit:N id:N
tot,NM,tot:NM elem:N
log,NM,add:V log:NM to:P stream:V
cs,N,to:P cs:N
to,P,to:P sort:V fn:N
by,P,monitor:V everything:DT by:P default:N
insn,NM,insn:NM 0:D
over,P,obsess:V over:P host:N
n,NM,n:NM col:N 2:D
all,DT,is:V all:DT
murmur,NM,murmur:NM hash:N 3:D
sqlite3,PRE,sqlite3:PRE put:V 4:D byte:N
inverted,NM,inverted:NM direction:N
col,N,k:NM im:N 2:D col:N
lru,NM,disk:NM lru:NM cache:N
mask,N,workspace:NM file:NM mask:N
fa,N,minimized:NM random:NM fa:N
search,NM,binary:NM search:NM bytes:NPL
1,D,col:N 1:D
progress,NM,gimp:PRE status:NM bar:NM progress:NM canceled:V
node,N,crop:NM node:N
scroll,N,change:V scroll:N
active,NM,active:NM tool:NM id:N
record,N,top:NM ngram:NM record:N
when,VM,propagate:V when:VM not:VM up:P
string,N,all:DT open:NM files:NPL string:N
1,D,dn:N 1:D x:P 2:D
now,VM,dl:N now:VM
api,NM,plugin:PRE api:NM info:N color:NM rgb:N 2:P term:NM cb:N
suite,NM,suite:NM method:NM builder:N
indexed,NM,context:NM token:NM list:NM indexed:NM getter:NM decl:N
src,NM,src:NM file:NM info:N
col,NM,col:NM stride:N 1:D
times,NPL,cap:NM times:NPL
pfm,N,pnm:PRE load:V raw:NM pfm:N
points,NPL,set:V add:V faces:NM points:NPL
after,P,has:V after:P destruct:N
is,V,m:PRE is:V indx:NM present:N
1,D,work:N 1:D
index,N,to:P index:N
cat,NM,cat:NM risk:N
token,NM,last:NM token:NM was:V delete:N or:CJ default:N
setter,NM,report:V no:DT setter:NM found:V
symbols,NPL,tlv:NM symbols:NPL
num,NM,num:NM outs:NPL
pos,N,update:V mouse:NM pos:N
type,NM,net:NM state:NM rule:NM default:NM type:NM internal:NM
edges,NPL,edges:NPL per:P node:N
oauth,NM,oauth:NM session:NM factory:N
set,V,set:V protocol:NM method:N
transform,N,as:P transform:N generator:NM transform:N
col,N,im:N 2:P col:N 2d:NM
previous,NM,previous:NM stream:NM id:N
space,NM,all:DT space:NM after:P
c,N,argb:PRE subtract:V row:NM c:N
contents,NPL,contents:NPL 2:D
regularizer,N,l1:NM regularizer:N
top,NM,blob:NM name:N to:P last:DT top:NM idx:N
problem,NM,problem:NM reporter:NM factory:N
size,N,parts:NM size:N
this,DT,this:DT host:NM group:N
next,DT,next:DT field:NM name:N
all,DT,all:DT action:NM roots:NPL
regexp,N,whole:NM regexp:N
known,NM,check:V against:P known:NM hosts:NPL
info,N,if:NM info:N
path,N,in:P best:NM path:N
cell,N,last:DT mem:NM cell:N
secondary,NM,secondary:NM range:N
from,P,from:P local:NM aabb:NM min:N
states,NM,non:NM greedy:NM states:NM builder:N
generator,N,cur:N and:CJ generator:N
m,N,in:NM flow:NM new:NM m:N
error,NM,http2:NM error:NM code:N
4,D,table:NM metadata:NM v:NM 4:D
sbox,N,m:PRE sbox:N 4:D
color,N,led:NM color:N
statement,N,child:NM statement:N
layer,NM,layer:NM get:V composite:NM mode:NM invoker:N
x,P,bypass:NM comparison:N 8192:D x:P 8192:D
enable,V,enable:V background:NM opacity:N
page,NM,rtc:PRE free:V page:NM 1:D
next,DT,next:DT unassigned:NM
a,DT,a:DT 0:D
edges,NPL,in:NM edges:NPL
operation,NM,cmd:NM output:NM operation:NM type:N
gimp,PRE,gimp:PRE filter:NM tool:N set:V gyroscope:N
layer,NM,set:V layer:NM texture:NM name:N
path,NM,local:NM path:NM out:N
num,NM,prev:NM num:NM hooks:NPL
profile,NM,search:NM profile:NM results:NPL
log,N,polling:NM log:N
buffered,N,on:P egress:N buffered:N
ongoing,NM,ongoing:NM call:NM notification:N
media,NM,media:NM chunk:NM iterator:N
services,NPL,singularity:PRE s3:PRE services:NPL
text,NM,text:NM search:NM where:VM
start,N,number:NM start:N
str,N,str:N array:NM len:N
actual,NM,get:V actual:NM values:NPL
service,NM,this:DT service:NM ext:NM info:N
2,D,new:NM shape:N 2:D
print,NM,do:V print:NM after:P
pool,NM,layer:NM field:NM pool:NM 1d:NM size:N
prefix,N,prefix:N x:N 1:D
set,V,set:V dampen:V on:P bodies:NPL
1,D,vol:NM stride:N 1:D
escalation,N,this:DT service:NM escalation:N
rot,NM,sin:NM rot:NM w:N
child,N,index:V as:P child:N
2,D,application:NM info:N 2:D
no,DT,message:N no:DT color:N
symbol,NM,odf:NM symbol:NM type:N
errno,V,plfit:NM errno:V
random,N,no:DT random:N
closed,V,after:P filters:NPL closed:V
next,DT,next:DT he:N
correlation,N,underlying:NM fx:NM correlation:N
jar,N,cookie:NM jar:N
animations,NPL,animations:NPL data:NPL
1d,NM,layer:NM field:NM pool:NM 1d:NM size:N
count,N,on:P query:NM hardware:NM watchpoint:NM count:N
no,DT,no:DT in:N
as,P,as:P stripes:NPL
tasks,NPL,accepting:NM tasks:NPL
part,N,part:N 3:D
trained,N,is:V trained:N
file,N,read:V text:NM file:N
builder,N,dump:V core:NM map:N to:P string:NM builder:N
types,NPL,to:P types:NPL
bits,NPL,other:NM data:NM len:NM bits:NPL
parent,NM,remove:V imported:NM parent:NM contexts:NPL
samplers,NPL,samplers:NPL
or,CJ,n:N water:N or:CJ ice:N
supported,V,supported:V style:N
ptr,N,next:DT tok:NM ptr:N
decl,N,token:NM type:NM decl:N
byte,NM,byte:NM i:N plus:P 1:D
hash,NM,sqlite3:PRE fts3:PRE hash:NM insert:V
last,DT,last:DT used:V ypos:N
a,DT,a:DT type:N
send,V,send:V string:N
continuation,N,op:NM code:NM continuation:N
sky,NM,m:PRE sky:NM box:NM orientation:N
timeout,NM,timeout:NM task:N
id,N,out:NM push:NM id:N
previous,NM,previous:NM is:V valid:N
getter,N,the:DT getter:N
step,N,step:N size:N
data,NPL,num:NM tess:NM face:NM data:NPL
charset,N,with:P charset:N
attributes,NPL,get:V default:NM atlasing:NM attributes:NPL
mockito,NM,mockito:NM assertion:NM error:N
integer,NM,next:DT integer:NM if:CJ not:DT eof:N
gson,NM,gson:NM builder:N
concrete,NM,concrete:NM follower:NM indices:NPL
movie,NM,movie:NM media:NM handler:N
stream,V,add:V log:NM to:P stream:V
need,NM,need:NM fallback:N
name,N,sub:NM module:NM name:N visibility:NM pairs:NPL
radian,N,angle:NM in:P radian:N
component,NM,component:NM type:N
dep,N,dep:N h:N
next,DT,get:V next:DT comment:NM id:N
acdr,PRE,dissect:V acdr:PRE ip:N or:CJ other:N
read,V,read:V subframe:N
content,N,on:P response:NM content:N
