TYPE,NAME,CONTEXT,LANGUAGE,FILE,LINE_NUMBER,SPLIT_IDENTIFIER,GRAMMAR_PATTERN
Instant,toTime,PARAMETER,Java,cloned_repositories/metrics.git/metrics-core/src/main/java/com/codahale/metrics/SlidingTimeWindowMovingAverages.java,177,to Time,P N
void,onResponseContent,FUNCTION,Java,cloned_repositories/metrics.git/metrics-jetty10/src/main/java/io/dropwizard/metrics/jetty10/InstrumentedHttpChannelListener.java,258,on Response Content,P NM N
ObjectNameFactory,onFactory,PARAMETER,Java,cloned_repositories/metrics.git/metrics-jmx/src/main/java/com/codahale/metrics/jmx/JmxReporter.java,92,on Factory,P N
ObjectName,on,DECLARATION,Java,cloned_repositories/metrics.git/metrics-jvm/src/main/java/com/codahale/metrics/jvm/BufferPoolMetricSet.java,42,on,N
IDAT,idat,ATTRIBUTE,C,cloned_repositories/mgba.git/src/third-party/libpng/contrib/tools/pngfix.c,2013,id at,N P
IDAT,idat_var,PARAMETER,C,cloned_repositories/mgba.git/src/third-party/libpng/contrib/tools/pngfix.c,1771,id at var,N P N
png_uint_32,y_pixels_per_unit,ATTRIBUTE,C,cloned_repositories/mgba.git/src/third-party/libpng/pnginfo.h,184,y pixels per unit,D NPL P N
png_uint_32,x_pixels_per_unit,ATTRIBUTE,C,cloned_repositories/mgba.git/src/third-party/libpng/pnginfo.h,183,x pixels per unit,NM NPL P N
SizeT,inSize,DECLARATION,C,cloned_repositories/mgba.git/src/third-party/lzma/Lzma2Dec.c,178,in Size,NM N
gboolean*,propagate_when_not_up,FUNCTION,C,cloned_repositories/naemon-core.git/src/naemon/checks_host.c,669,propagate when not up,V CJ VM P
gboolean,cb_service_in_hostgroup_each_host,FUNCTION,C,cloned_repositories/naemon-core.git/src/naemon/commands.c,1731,cb service in host group each host,NM N P NM N DT N
int,hosts_down,DECLARATION,C,cloned_repositories/naemon-core.git/src/naemon/macros.c,1497,hosts down,NPL VM
int,notify_contact_of_host,FUNCTION,C,cloned_repositories/naemon-core.git/src/naemon/notifications.c,1780,notify contact of host,V N P N
int,add_parent_to_host,FUNCTION,C,cloned_repositories/naemon-core.git/src/naemon/objects_host.c,349,add parent to host,V N P N
int,notified_on,ATTRIBUTE,C,cloned_repositories/naemon-core.git/src/naemon/objects_host.h,110,notified on,V P
int,obsess_over_host,PARAMETER,C,cloned_repositories/naemon-core.git/src/naemon/objects_host.h,154,obsess over host,V P N
customvariablesmember*,add_custom_variable_to_service,FUNCTION,C,cloned_repositories/naemon-core.git/src/naemon/objects_service.c,265,add custom variable to service,V NM N P N
char,stringp,PARAMETER,C,cloned_repositories/naemon-core.git/src/naemon/shared.h,45,string p,NM N
char,bufout,DECLARATION,C,cloned_repositories/naemon-core.git/src/worker/worker.c,158,buf out,NM N
ImageIcon,offIcon,ATTRIBUTE,Java,cloned_repositories/Openfire.git/starter/src/main/java/org/jivesoftware/openfire/launcher/Launcher.java,90,off Icon,NM N
ImageIcon,onIcon,ATTRIBUTE,Java,cloned_repositories/Openfire.git/starter/src/main/java/org/jivesoftware/openfire/launcher/Launcher.java,91,on Icon,NM N
boolean,afterEquals,DECLARATION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/database/ProfiledConnection.java,411,after Equals,P N
String,toBareJID,FUNCTION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/group/GroupJID.java,92,to Bare JID,P NM N
int,toIndex,DECLARATION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/ldap/LdapManager.java,2280,to Index,P N
Thread,threadBtoA,ATTRIBUTE,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/mediaproxy/MediaProxySession.java,73,thread B to A,NM N P N
JID,fromJID,PARAMETER,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/muc/MUCEventListener.java,99,from JID,P N
AtomicLong,outMessages,ATTRIBUTE,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/muc/spi/MultiUserChatServiceImpl.java,250,out Messages,NM NPL
void,onConnectionClose,FUNCTION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/SessionManager.java,1330,on Connection Close,P N V
boolean,fromServer,PARAMETER,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/spi/RoutingTableImpl.java,345,from Server,P N
int,outBuffPosn,DECLARATION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/util/Base64.java,867,out Buff Posn,NM NM N
String,fromEmail,PARAMETER,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/util/EmailService.java,169,from Email,P N
boolean,inLiteral,DECLARATION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/util/FastDateFormat.java,540,in Literal,P N
InetAddress,inaddr,PARAMETER,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/util/SimpleSSLSocketFactory.java,91,in addr,NM N
BOOLEAN,inTransaction,DECLARATION,C,cloned_repositories/ovs.git/datapath-windows/ovsext/TunnelFilter.c,452,in Transaction,P N
ovs_be64,tx_1523_to_max_packets,ATTRIBUTE,C,cloned_repositories/ovs.git/include/openflow/intel-ext.h,61,tx1523 to max packets,N P NM NPL
ovs_be64,rx_128_to_255_packets,ATTRIBUTE,C,cloned_repositories/ovs.git/include/openflow/intel-ext.h,49,rx128 to 255 packets,N P D NPL
ovs_be64,rx_1024_to_1522_packets,ATTRIBUTE,C,cloned_repositories/ovs.git/include/openflow/intel-ext.h,52,rx1024 to 1522 packets,N P D NPL
conn,conn_in,PARAMETER,C,cloned_repositories/ovs.git/lib/conntrack.c,909,conn in,NM N
uint32_t,size_from_ipv4,DECLARATION,C,cloned_repositories/ovs.git/lib/dpif-netdev-extract-avx512.c,890,size from ipv4,N P N
ovs_be64,in_key,ATTRIBUTE,C,cloned_repositories/ovs.git/lib/netdev.h,116,in key,NM N
odp_key_fitness*,odp_nsh_key_from_attr__,FUNCTION,C,cloned_repositories/ovs.git/lib/odp-util.c,2990,odp nsh key from attr,PRE PRE N P N
uint32_t*,version_bitmap_from_version,FUNCTION,C,cloned_repositories/ovs.git/lib/ofp-util.c,99,version bitmap from version,NM N P N
ofpbuf*,ofpbuf_clone_with_headroom,FUNCTION,C,cloned_repositories/ovs.git/lib/ofpbuf.c,196,ofp buf clone with headroom,PRE PRE N P N
OVS_WARN_UNUSED_RESULT*,ovsdb_transient_datum_from_json,FUNCTION,C,cloned_repositories/ovs.git/lib/ovsdb-data.c,1403,ovs db transient datum from json,PRE PRE NM N P N
int,save_errno,DECLARATION,C,cloned_repositories/ovs.git/lib/util.c,494,save err no,V NM N
ofservice,ofservice,DECLARATION,C,cloned_repositories/ovs.git/ofproto/connmgr.c,313,of service,PRE N
int,out_vlan,ATTRIBUTE,C,cloned_repositories/ovs.git/ofproto/ofproto-dpif-mirror.c,68,out vlan,NM N
ofbundle,ofbundle,PARAMETER,C,cloned_repositories/ovs.git/ofproto/ofproto-dpif-mirror.c,196,of bundle,PRE N
char,out_dev,DECLARATION,C,cloned_repositories/ovs.git/ofproto/ofproto-dpif-xlate.c,3557,out dev,NM N
bool,has_in_band,PARAMETER,C,cloned_repositories/ovs.git/ofproto/ofproto-dpif-xlate.c,687,has in band,V P N
CPPType,wrapped_around,PARAMETER,C++,cloned_repositories/panda3d.git/dtool/src/cppparser/cppConstType.cxx,20,wrapped around,V P
bool*,is_convertible_to,FUNCTION,C++,cloned_repositories/panda3d.git/dtool/src/cppparser/cppStructType.cxx,846,is convertible to,V NM P
CPPFunctionType*,as_function_type,FUNCTION,C++,cloned_repositories/panda3d.git/dtool/src/cppparser/cppTypeProxy.cxx,251,as function type,P NM N
int,bits_per_pixel,ATTRIBUTE,C,cloned_repositories/panda3d.git/panda/src/display/displayInformation.h,23,bits per pixel,NPL P N
LPoint3,_look_at,ATTRIBUTE,C++,cloned_repositories/panda3d.git/panda/src/display/graphicsOutput.cxx,51,look at,V P
LVector3,_up,ATTRIBUTE,C++,cloned_repositories/panda3d.git/panda/src/display/graphicsOutput.cxx,52,up,P
CoordinateSystem,to_cs,PARAMETER,C++,cloned_repositories/panda3d.git/panda/src/egg/eggXfmAnimData.cxx,199,to cs,P N
void,normalize_by_rebuilding,FUNCTION,C++,cloned_repositories/panda3d.git/panda/src/egg/eggXfmSAnim.cxx,638,normalize by rebuilding,V P V
bool*,copy_primitives_from,FUNCTION,C++,cloned_repositories/panda3d.git/panda/src/gobj/geom.cxx,934,copy primitives from,V NPL P
int,num_vertices_per_primitive,DECLARATION,C++,cloned_repositories/panda3d.git/panda/src/gobj/geomPrimitive.cxx,748,num vertices per primitive,NM NPL P N
bool,extend_by_hexahedron,FUNCTION,C++,cloned_repositories/panda3d.git/panda/src/mathutil/boundingVolume.cxx,204,extend by hexahedron,V P N
void,set_dampen_on_bodies,FUNCTION,C++,cloned_repositories/panda3d.git/panda/src/ode/odeWorld.cxx,165,set dampen on bodies,V V P NPL
void,adjust_to_camera,FUNCTION,C++,cloned_repositories/panda3d.git/panda/src/pgraph/fog.cxx,136,adjust to camera,V P N
ThreadContext,from_context,PARAMETER,C,cloned_repositories/panda3d.git/panda/src/pipeline/threadSimpleManager.h,90,from context,P N
int,xto,PARAMETER,C++,cloned_repositories/panda3d.git/panda/src/pnmimage/pnmBrush.cxx,57,x to,N P
int,xfrom,PARAMETER,C++,cloned_repositories/panda3d.git/panda/src/pnmimage/pnmImage.cxx,1212,x from,N P
long,offBits,PARAMETER,C++,cloned_repositories/panda3d.git/panda/src/pnmimagetypes/pnmFileTypeBMPReader.cxx,400,off Bits,NM NPL
stbi_uc,in_near,PARAMETER,C,cloned_repositories/panda3d.git/panda/src/pnmimagetypes/stb_image.h,3164,in near,N P
int,_before_minor,ATTRIBUTE,C++,cloned_repositories/panda3d.git/panda/src/putil/bamWriter.cxx,32,before minor,P N
int,insert_at,PARAMETER,C++,cloned_repositories/panda3d.git/pandatool/src/gtk-stats/gtkStatsChartMenu.cxx,203,insert at,V P
void,group_with,FUNCTION,C++,cloned_repositories/panda3d.git/pandatool/src/palettizer/paletteGroup.cxx,94,group with,V P
void*,remove_from_menu_bar,FUNCTION,C++,cloned_repositories/panda3d.git/pandatool/src/win-stats/winStatsChartMenu.cxx,76,remove from menu bar,V P NM N
double,to_height,DECLARATION,C++,cloned_repositories/panda3d.git/pandatool/src/win-stats/winStatsPianoRoll.cxx,494,to height,P N
http_data_cb,on_reason,ATTRIBUTE,C,cloned_repositories/proxygen.git/proxygen/external/http_parser/http_parser.h,262,on reason,P N
void,onServerEgressPaused,FUNCTION,C++,cloned_repositories/proxygen.git/proxygen/httpserver/samples/proxy/ProxyHandler.cpp,170,on Server Egress Paused,P NM N V
uint32_t,toAck,DECLARATION,C++,cloned_repositories/proxygen.git/proxygen/lib/http/codec/compress/QPACKDecoder.cpp,395,to Ack,P N
bool,aboveBase,PARAMETER,C++,cloned_repositories/proxygen.git/proxygen/lib/http/codec/compress/QPACKDecoder.cpp,350,above Base,P N
PushId,outPushId,PARAMETER,C++,cloned_repositories/proxygen.git/proxygen/lib/http/codec/HQFramer.cpp,74,out Push Id,NM NM N
unique_ptr,outHeaderData,DECLARATION,C++,cloned_repositories/proxygen.git/proxygen/lib/http/codec/HQStreamCodec.cpp,164,out Header Data,NM NM N
bool,hasUpgradeTokeninConnection,DECLARATION,C++,cloned_repositories/proxygen.git/proxygen/lib/http/codec/HTTP1xCodec.cpp,538,has Upgrade Token in Connection,V NM N P N
uint32_t,lefttoparse,DECLARATION,C++,cloned_repositories/proxygen.git/proxygen/lib/http/codec/HTTP2Framer.cpp,341,left to parse,V P V
uint64_t,outOpaqueData,PARAMETER,C++,cloned_repositories/proxygen.git/proxygen/lib/http/codec/HTTP2Framer.cpp,522,out Opaque Data,NM NM N
ErrorCode,outCode,PARAMETER,C++,cloned_repositories/proxygen.git/proxygen/lib/http/codec/HTTP2Framer.cpp,213,out Code,NM N
ExAttributes,outExAttributes,PARAMETER,C++,cloned_repositories/proxygen.git/proxygen/lib/http/codec/HTTP2Framer.cpp,400,out Ex Attributes,NM NM NPL
void,onIngressError,FUNCTION,C++,cloned_repositories/proxygen.git/proxygen/lib/http/connpool/SessionHolder.cpp,161,on Ingress Error,P NM N
void,onEgressBuffered,FUNCTION,C++,cloned_repositories/proxygen.git/proxygen/lib/http/connpool/SessionHolder.cpp,309,on Egress Buffered,P N V
bool,onTransportReadyCommon,FUNCTION,C++,cloned_repositories/proxygen.git/proxygen/lib/http/session/HQSession.cpp,224,on Transport Ready Common,P NM NM N
size_t,toConsume,PARAMETER,C++,cloned_repositories/proxygen.git/proxygen/lib/http/session/HQSession.cpp,1198,to Consume,P V
void,onPingReplyLatency,FUNCTION,C++,cloned_repositories/proxygen.git/proxygen/lib/http/session/HTTPSession.cpp,3027,on Ping Reply Latency,P NM NM N
size_t,onHeaderBytesGenerated,DECLARATION,C,cloned_repositories/proxygen.git/proxygen/lib/http/session/HTTPTransaction.h,53,on Header Bytes Generated,P NM NPL V
int,no_of_nodes,DECLARATION,C,cloned_repositories/rigraph.git/src/core/centrality/coreness.c,61,no of nodes,N P NPL
double,inFlowNewM,DECLARATION,C++,cloned_repositories/rigraph.git/src/core/community/infomap/infomap_Greedy.cc,544,in Flow New M,NM NM NM N
igraph_inclist_t,edges_per_node,PARAMETER,C,cloned_repositories/rigraph.git/src/core/community/leiden.c,294,edges per node,NPL P N
int,among,PARAMETER,C++,cloned_repositories/rigraph.git/src/core/games/degree_sequence_vl/gengraph_graph_molloy_optimized.cpp,1555,among,P
int,no_in,DECLARATION,C,cloned_repositories/rigraph.git/src/core/games/forestfire.c,196,no in,NM N
igraph_vector_t,outseq,PARAMETER,C,cloned_repositories/rigraph.git/src/core/games/recent_degree.c,233,out seq,NM N
bool,fp_on,ATTRIBUTE,C++,cloned_repositories/rigraph.git/src/core/isomorphism/bliss/graph.cc,592,fp on,N P
bool,in_best_path,ATTRIBUTE,C++,cloned_repositories/rigraph.git/src/core/isomorphism/bliss/graph.cc,597,in best path,P NM N
bool,refine_equal_to_first,ATTRIBUTE,C++,cloned_repositories/rigraph.git/src/core/isomorphism/bliss/graph.hh,248,refine equal to first,V N P DT
bool,in_neighbour_heap,ATTRIBUTE,C++,cloned_repositories/rigraph.git/src/core/isomorphism/bliss/partition.hh,65,in neighbour heap,P NM N
igraph_real_t,offset_to_left_contour,ATTRIBUTE,C,cloned_repositories/rigraph.git/src/core/layout/reingold_tilford.c,117,offset to left contour,V P NM N
igraph_real_t,offset_to_right_contour,ATTRIBUTE,C,cloned_repositories/rigraph.git/src/core/layout/reingold_tilford.c,118,offset to right contour,V P NM N
igraph_inclist_t,outlist,DECLARATION,C,cloned_repositories/rigraph.git/src/core/misc/embedding.c,73,out list,NM N
SEXP,R_igraph_matrix_to_SEXP,FUNCTION,C,cloned_repositories/rigraph.git/src/rinterface_extra.c,2666,R igraph matrix to SEXP,PRE PRE N P N
SEXP,R_igraph_add_myid_to_env,FUNCTION,C,cloned_repositories/rigraph.git/src/rinterface_extra.c,9759,R igraph add myid to env,PRE PRE V N P N
prpack_result*,solve_via_gs,FUNCTION,C++,cloned_repositories/rigraph.git/src/vendor/cigraph/src/centrality/prpack/prpack_solver.cpp,336,solve via gs,V P N
long,number_of_nodes,DECLARATION,C++,cloned_repositories/rigraph.git/src/vendor/cigraph/src/community/spinglass/pottsmodel_2.cpp,588,number of nodes,N P NPL
igraph_vector_int_t,order_out,PARAMETER,C,cloned_repositories/rigraph.git/src/vendor/cigraph/src/graph/visitors.c,488,order out,V P
igraph_adjlist_t,inlist,DECLARATION,C,cloned_repositories/rigraph.git/src/vendor/cigraph/src/misc/embedding.c,621,in list,NM N
double,psave,DECLARATION,C,cloned_repositories/rigraph.git/src/vendor/cigraph/src/random/random.c,1799,p save,PRE V
int,nxtin,ATTRIBUTE,C,cloned_repositories/rigraph.git/src/vendor/cigraph/vendor/glpk/misc/relax4.h,50,nxt in,P P
void*,out_of_domain,FUNCTION,C,cloned_repositories/rigraph.git/src/vendor/cigraph/vendor/glpk/mpl/mpl3.c,2245,out of domain,P P N
size_t,over_size,DECLARATION,C++,cloned_repositories/s3fs-fuse.git/src/fdcache_entity.cpp,1223,over size,P N
off_t,behind_start,PARAMETER,C++,cloned_repositories/s3fs-fuse.git/src/fdcache_entity.cpp,2568,behind start,P N
off_t,behind_size,PARAMETER,C++,cloned_repositories/s3fs-fuse.git/src/fdcache_entity.cpp,2568,behind size,P N
off_t,behind_rem_start,DECLARATION,C++,cloned_repositories/s3fs-fuse.git/src/fdcache_fdinfo.cpp,600,behind rem start,P NM N
int,md5outlen,DECLARATION,C++,cloned_repositories/s3fs-fuse.git/src/nss_auth.cpp,159,md5 out len,NM NM N
int,underProvisionedRequests,PARAMETER,Java,cloned_repositories/Singularity.git/SingularityBase/src/main/java/com/hubspot/singularity/SingularityState.java,198,under Provisioned Requests,P V NPL
boolean,fromDockerConfig,ATTRIBUTE,Java,cloned_repositories/Singularity.git/SingularityExecutor/src/main/java/com/hubspot/singularity/executor/config/SingularityExecutorDockerAuthConfig.java,4,from Docker Config,P NM N
void,saveMailRecord,FUNCTION,Java,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/data/MetadataManager.java,79,save Mail Record,V NM N
SingularityCreateResult,saveExpiringObject,FUNCTION,Java,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/data/RequestManager.java,847,save Expiring Object,V NM N
SingularityCreateResult,saveTaskHistoryUpdate,FUNCTION,Java,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/data/TaskManager.java,778,save Task History Update,V NM NM N
T,fromBytes,FUNCTION,Java,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/data/transcoders/CompressingTranscoder.java,23,from Bytes,P NPL
List,toLaunch,DECLARATION,Java,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/mesos/SingularityOfferHolder.java,134,to Launch,P V
List,pastThreshold,DECLARATION,Java,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/scheduler/SingularityCrashLoops.java,88,past Threshold,P N
ProxyInfo,forSocks4Proxy,FUNCTION,Java,cloned_repositories/Smack.git/smack-core/src/main/java/org/jivesoftware/smack/proxy/ProxyInfo.java,63,for Socks4 Proxy,P NM N
StanzaFilter,fromRoomFilter,ATTRIBUTE,Java,cloned_repositories/Smack.git/smack-experimental/src/main/java/org/jivesoftware/smackx/muclight/MultiUserChatLight.java,80,from Room Filter,P NM N
String,by,ATTRIBUTE,Java,cloned_repositories/Smack.git/smack-experimental/src/main/java/org/jivesoftware/smackx/sid/element/StanzaIdElement.java,33,by,P 
String,inActionCode,PARAMETER,Java,cloned_repositories/Smack.git/smack-jingle-old/src/main/java/org/jivesoftware/smackx/jingleold/JingleActionEnum.java,41,in Action Code,P NM N
String,savePassword,DECLARATION,Java,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/gui/LoginUIPanel.java,1604,save Password,V N
X509CertSelector,toBeValidated,DECLARATION,Java,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/certificates/SparkExceptionsTrustManager.java,91,to Be Validated,P V V
String,showStringforAdd,DECLARATION,Java,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/plugin/privacy/ui/PrivacyListTree.java,216,show String for Add,V N P V
JButton,btn_save,DECLARATION,Java,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/preference/PreferenceDialog.java,53,btn save,NM N
Icon,downIcon,ATTRIBUTE,Java,cloned_repositories/Spark.git/plugins/jingle/src/main/java/org/jivesoftware/sparkplugin/CallPanelButton.java,38,down Icon,NM N
int,fromY,PARAMETER,Java,cloned_repositories/Spark.git/plugins/roar/src/main/java/org/jivesoftware/spark/roar/gui/SparkToaster.java,262,from Y,P N
ToHeader,toHeader,DECLARATION,Java,cloned_repositories/Spark.git/plugins/sip/src/main/java/net/java/sipmack/sip/RegisterProcessing.java,458,to Header,P N
FromHeader,fromHeader,ATTRIBUTE,Java,cloned_repositories/Spark.git/plugins/sip/src/main/java/net/java/sipmack/sip/SipManager.java,192,from Header,P N
HANDLE,inhand,DECLARATION,C,cloned_repositories/toggldesktop.git/third_party/openssl/apps/apps.c,2615,in hand,NM N
BIO,inkey_bio,DECLARATION,C,cloned_repositories/toggldesktop.git/third_party/openssl/apps/ts.c,581,inkey bio,NM N
char,passin,DECLARATION,C,cloned_repositories/toggldesktop.git/third_party/openssl/apps/ts.c,162,pass in,NM N
long,expand_in,ATTRIBUTE,C,cloned_repositories/toggldesktop.git/third_party/openssl/crypto/comp/comp_lcl.h,27,expand in,V N
felem,z_in,DECLARATION,C,cloned_repositories/toggldesktop.git/third_party/openssl/crypto/ec/ecp_nistp521.c,1839,z in,NM N
T,m_to,ATTRIBUTE,C++,cloned_repositories/toggldesktop.git/third_party/plcrashreporter/Dependencies/Catch/catch.hpp,1864,m to,PRE P
void,_instr_max,ATTRIBUTE,C++,cloned_repositories/toggldesktop.git/third_party/plcrashreporter/Source/dwarf_opstream.hpp,70,instr max,NM N
Pipe,inPipe,PARAMETER,C++,cloned_repositories/toggldesktop.git/third_party/poco/Foundation/src/Process_WIN32U.cpp,166,in Pipe,NM N
Var,asVar,FUNCTION,C++,cloned_repositories/toggldesktop.git/third_party/poco/JSON/src/Handler.cpp,34,as Var,P N
bool,onServerSide,PARAMETER,C++,cloned_repositories/toggldesktop.git/third_party/poco/NetSSL_OpenSSL/src/PrivateKeyPassphraseHandler.cpp,27,on Server Side,P NM N
png_size_t,save_buffer_max,ATTRIBUTE,C,cloned_repositories/toggldesktop.git/third_party/poco/PDF/include/Poco/PDF/png.h,1286,save buffer max,V NM N
int,out_audio_samples,DECLARATION,C,cloned_repositories/toxcore.git/toxav/group.c,283,out audio samples,NM NM NPL
uint8_t,from_id,PARAMETER,C,cloned_repositories/toxcore.git/toxcore/DHT.c,1570,from id,P N
int*,friend_in_close,FUNCTION,C,cloned_repositories/toxcore.git/toxcore/group.c,1326,friend in close,N P N
size_t,savedata_length,ATTRIBUTE,C,cloned_repositories/toxcore.git/toxcore/tox.h,491,save data length,NM NM N
char,ptr_inbuf,DECLARATION,C,cloned_repositories/weechat.git/src/core/wee-string.c,2974,ptr in buf,N P N
int,add_temp_to_args,DECLARATION,C,cloned_repositories/weechat.git/src/core/wee-string.c,2507,add temp to args,V N P NPL
void,gui_buffer_set_time_for_each_line,FUNCTION,C,cloned_repositories/weechat.git/src/gui/gui-buffer.c,1557,gui buffer set time for each line,PRE PRE V N P DT N
char,words_to_add,PARAMETER,C,cloned_repositories/weechat.git/src/gui/gui-buffer.c,1686,words to add,NPL P V
int,lines_per_option,DECLARATION,C,cloned_repositories/weechat.git/src/plugins/fset/fset-buffer.c,1289,lines per option,NPL P N
SCM,weechat_guile_api_string_input_for_buffer,FUNCTION,C,cloned_repositories/weechat.git/src/plugins/guile/weechat-guile-api.c,493,weechat guile api string input for buffer,PRE PRE PRE NM N P N
int,load_from_lib_dir,PARAMETER,C,cloned_repositories/weechat.git/src/plugins/plugin.c,1033,load from lib dir,V P NM N
void*,spell_speller_add_dicts_to_hash,FUNCTION,C,cloned_repositories/weechat.git/src/plugins/spell/spell-speller.c,230,spell speller add dicts to hash,PRE PRE V NPL P N
int,send_to_buffer,PARAMETER,C,cloned_repositories/weechat.git/src/plugins/trigger/trigger-command.c,296,send to buffer,V P N
int,pfcp_up_function_features_o9_flags,DECLARATION,C,cloned_repositories/wireshark.git/epan/dissectors/packet-pfcp.c,3077,pfcp up function features o9 flags,PRE NM N V NM NPL
int,offsetp,PARAMETER,C,cloned_repositories/wireshark.git/epan/dissectors/x11-extension-implementation.h,154,offset p,NM N
FvalueFromLiteral,val_from_literal,ATTRIBUTE,C,cloned_repositories/wireshark.git/epan/ftypes/ftypes-int.h,101,val from literal,N P N
int,num_of_gops,ATTRIBUTE,C,cloned_repositories/wireshark.git/plugins/epan/mate/mate.h,336,num of gops,N P NPL
TupleMetadata,toSchema,FUNCTION,Java,drill.git/contrib/format-deltalake/src/main/java/org/apache/drill/exec/store/delta/DeltaGroupScan.java,513,to Schema,P N
boolean,enablePushdown,ATTRIBUTE,Java,drill.git/contrib/format-maprdb/src/main/java/org/apache/drill/exec/store/mapr/db/MapRDBFormatPluginConfig.java,31,enable Push down,V V P
verify_context,in_ctx,PARAMETER,C++,drill.git/contrib/native/client/src/clientlib/channel.hpp,358,in ctx,NM N
Channel,in_channel,PARAMETER,C++,drill.git/contrib/native/client/src/clientlib/channel.hpp,346,in channel,NM N
LikeFilter,likeFilter,PARAMETER,C++,drill.git/contrib/native/client/src/clientlib/drillClientImpl.cpp,890,like Filter,NM N
int,in_expectedRPCType,PARAMETER,C++,drill.git/contrib/native/client/src/clientlib/drillClientImpl.hpp,326,in expected RPC Type,P NM NM N
bool,m_likeEscapeClauseSupported,ATTRIBUTE,C++,drill.git/contrib/native/client/src/clientlib/metadata.hpp,282,m like Escape Clause Supported,PRE NM NM N V
string,in_propName,PARAMETER,C++,drill.git/contrib/native/client/src/include/drill/userProperties.hpp,36,in prop Name,NM NM N
void,set_has_blob_included_in_max_row_size,FUNCTION,C++,drill.git/contrib/native/client/src/protobuf/User.pb.cc,11756,set has blob included in max row size,V V N V P NM NM N
SchemaPlus,plusOfThis,PARAMETER,Java,drill.git/contrib/storage-drill/src/main/java/org/apache/drill/exec/store/drill/plugin/schema/DrillPluginSchema.java,94,plus Of This,P P DT
RelTrait,inTrait,ATTRIBUTE,Java,drill.git/contrib/storage-jdbc/src/main/java/org/apache/drill/exec/store/jdbc/JdbcIntermediatePrelConverterRule.java,35,in Trait,NM N
boolean,atLeastOneWrite,ATTRIBUTE,Java,drill.git/contrib/storage-mongo/src/main/java/org/apache/drill/exec/store/bson/BsonRecordReader.java,52,at Least One Write,P DT D V
int,outNameIndex,DECLARATION,Java,drill.git/contrib/storage-mongo/src/main/java/org/apache/drill/exec/store/mongo/MongoAggregateUtils.java,91,out Name Index,NM NM N
boolean,supportsSortPushdown,ATTRIBUTE,Java,drill.git/contrib/storage-mongo/src/main/java/org/apache/drill/exec/store/mongo/MongoStoragePluginConfig.java,128,supports Sort Push down,V V V P
boolean,isSupportsLimitPushdown,FUNCTION,Java,drill.git/contrib/storage-mongo/src/main/java/org/apache/drill/exec/store/mongo/MongoStoragePluginConfig.java,154,is Supports Limit Push down,V V N V P
List,inFields,ATTRIBUTE,Java,drill.git/contrib/storage-mongo/src/main/java/org/apache/drill/exec/store/mongo/plan/RexToMongoTranslator.java,53,in Fields,NM NPL
String,downsample,ATTRIBUTE,Java,drill.git/contrib/storage-opentsdb/src/main/java/org/apache/drill/exec/store/openTSDB/client/query/Query.java,54,down sample,P N
void,onShutdownRequest,FUNCTION,Java,drill.git/drill-yarn/src/main/java/org/apache/drill/yarn/appMaster/Dispatcher.java,79,on Shutdown Request,P NM N
void,onTick,FUNCTION,Java,drill.git/drill-yarn/src/main/java/org/apache/drill/yarn/appMaster/Dispatcher.java,167,on Tick,P N
Integer,inIndex,PARAMETER,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/interpreter/InterpreterEvaluator.java,321,in Index,P N
Builder,withEntries,FUNCTION,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/metastore/store/parquet/MetastoreParquetTableMetadataProvider.java,141,with Entries,P NPL
